0:0:1 | [CMD] Jodor(12) => /vipler 
21:38:9 | eren1616(38) oyuna girdi [IP: 95.10.17.0]
21:38:9 | [KGT]Ruhatcan(25): qwweqwe
21:38:10 | [LOCAL]iYasinBey(19): püð userlik bitmiþ
21:38:10 | [CMD] iYasinBey(19) => /l  püð userlik bitmiþ
21:38:10 | {FFCC00}Chilgin[byhack](34) {FFFFFF}Kamyoncu olarak spawn oldu.
21:38:11 | iYasinBey(19): :ASD
21:38:12 | [CMD] UgurBey(7) => /setscore 25 7800
21:38:12 | [LOCAL]sezzer(11): hepsi bzk un ortak þirketi mk
21:38:12 | [CMD] sezzer(11) => /l hepsi bzk un ortak þirketi mk
21:38:15 | [CMD] sezzer(11) => /work
21:38:16 | smod(9) oyundan cIktI (Hata/Crash) (IP: 213.74.12.36)
21:38:16 | [LOCAL]CcCAtakan1907(32): :D
21:38:16 | [CMD] CcCAtakan1907(32) => /l :D
21:38:16 | [KGT]Ruhatcan(25): hoba :D
21:38:17 | [LOCAL]UgurBey(7): ne ara o kadar oldu la
21:38:17 | [CMD] UgurBey(7) => /l ne ara o kadar oldu la
21:38:17 | [eN]Overlord(33): H.O
21:38:17 | [CMD] thunder(14) => /rescue
21:38:17 | 
21:38:18 | DEDEKOK(36): beyler gideceðimiz yola nerden bakýyoruz
21:38:19 | [CMD] Chilgin[byhack](34) => /admgiris
21:38:21 | [CMD] Gazapizm_(20) => /convoyiptal
21:38:22 | DEDEKOK(36): beyler gideceðimiz yola nerden bakýyoruz yeniyimde
21:38:22 | [LOCAL][eN]Overlord(33): gazap
21:38:22 | [CMD] [eN]Overlord(33) => /l gazap
21:38:22 | [LOCAL]CcCAtakan1907(32): and rahattý bee
21:38:22 | [CMD] CcCAtakan1907(32) => /l and rahattý bee
21:38:23 | {FFCC00}eren1616(38) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:38:24 | [CMD] Jodor(37) => /uyeal 25
21:38:24 | Emirbaba3373(29): rank ne beyler
21:38:25 | [CMD] tavsanpaladin55(16) => /akilitac
21:38:26 | [LOCAL]UgurBey(7): 1500m nedir
21:38:26 | [CMD] UgurBey(7) => /l 1500m nedir
21:38:26 | [LOCAL][KGT]Ruhatcan(25): ney
21:38:26 | [CMD] [KGT]Ruhatcan(25) => /l ney
21:38:26 | Cht(23): Aracýn Rengini nasýl deðiþtirim
21:38:26 | [CMD] Gazapizm_(20) => /convoy
21:38:27 | [LOCAL][eN]Overlord(33): convoya katýlsana bro
21:38:27 | [CMD] [eN]Overlord(33) => /l convoya katýlsana bro
21:38:27 | [CMD] Cht(23) => /boya
21:38:27 | [LOCAL]CcCAtakan1907(32): keþke kapanmayaydý
21:38:27 | [CMD] CcCAtakan1907(32) => /l keþke kapanmayaydý
21:38:27 | [LOCAL]H.R.N.(22): bende satýlýk görükmüyo
21:38:27 | [CMD] H.R.N.(22) => /l bende satýlýk görükmüyo
21:38:27 | [CMD] Fublary3003(12) => /rescue
21:38:28 | [LOCAL]tavsanpaladin55(16): bin
21:38:28 | [CMD] tavsanpaladin55(16) => /l bin
21:38:29 | [CMD] eren1616(38) => /admgiris
21:38:30 | DEDEKOK(36): rehber yok mu hiç ya
21:38:30 | [LOCAL]tavsanpaladin55(16): yana reis
21:38:30 | [CMD] tavsanpaladin55(16) => /l yana reis
21:38:31 | [CMD] Cht(23) => /araciboya
21:38:31 | [CMD] Fublary3003(12) => /meslek
21:38:32 | [LOCAL]UgurBey(7): 1t 500m
21:38:32 | [CMD] UgurBey(7) => /l 1t 500m
21:38:32 | [LOCAL]sezzer(11): he la
21:38:32 | [CMD] sezzer(11) => /l he la
21:38:32 | [LOCAL]iYasinBey(19): gardaþ 3m atarsýn yav
21:38:32 | [CMD] iYasinBey(19) => /l gardaþ 3m atarsýn yav
21:38:33 | [LOCAL][eN]Overlord(33): ok
21:38:33 | [CMD] [eN]Overlord(33) => /L ok
21:38:33 | Emirbaba3373(29): rank ne beyler
21:38:34 | [CMD] eren1616(38) => /rehberler
21:38:35 | H.R.N.(22):  /araba /modifiye
21:38:35 | Chilgin[byhack](34): id 23 /modifiye den
21:38:35 | {FFCC00}Fublary3003(12) {FFFFFF}Polis olarak spawn oldu.
21:38:36 | [SirketCHT] Jodor(37): ! hg
21:38:37 | [CMD] [eN]Overlord(33) => /modifiye
21:38:37 | [CMD] Gazapizm_(20) => /isteksarki 90
21:38:37 | [CMD] Cht(23) => /araba
21:38:39 | [LOCAL][KGT]Ruhatcan(25): 1500m ydi
21:38:39 | [CMD] [KGT]Ruhatcan(25) => /l 1500m ydi
21:38:41 | [LOCAL]iYasinBey(19): gardaþ 3m atarsýn yav
21:38:41 | [CMD] iYasinBey(19) => /l gardaþ 3m atarsýn yav
21:38:43 | [CMD] Cht(23) => /modifiye
21:38:43 | [LOCAL]UgurBey(7): onu sancak a dersin sancak gelince
21:38:43 | [CMD] UgurBey(7) => /l onu sancak a dersin sancak gelince
21:38:44 | CagatayBro(13): araç res
21:38:44 | BrownCute(18): satýlýk ev yazýyor
21:38:45 | CagatayBro(13): arabaya dikkat
21:38:46 | [CMD] Jodor(37) => /sirket
21:38:47 | [CMD] Cht(23) => /modifiye
21:38:47 | [CMD] thunder(14) => /kemer
21:38:50 | DEDEKOK(36): id 34 gps filan yokmu svde
21:38:51 | [CMD] ubeydo(6) => /convoy
21:38:52 | [CMD] thunder(14) => /modifiye
21:38:52 | Emirbaba3373(29): rank ne beyler
21:38:52 | [LOCAL][eN]Overlord(33): modifiyeden beyaz renk ve cutter jant yapýn baþlayaLIM
21:38:52 | [CMD] [eN]Overlord(33) => /L modifiyeden beyaz renk ve cutter jant yapýn baþlayaLIM
21:38:53 | Emirbaba3373(29): rank ne beyler
21:38:53 | [LOCAL]iYasinBey(19): ruhat sancak verince 3m versene
21:38:53 | [CMD] iYasinBey(19) => /l ruhat sancak verince 3m versene
21:38:54 | [LOCAL]CcCAtakan1907(32): ne güzel patronduk
21:38:54 | [CMD] CcCAtakan1907(32) => /l ne güzel patronduk
21:38:54 | H.R.N.(22): bi dk
21:38:54 | [CMD] Fublary3003(12) => /rescue
21:38:55 | [LOCAL]UgurBey(7): þimdi benim loglara eriþimim yok
21:38:55 | [CMD] UgurBey(7) => /l þimdi benim loglara eriþimim yok
21:38:57 | [CMD] Gazapizm_(20) => /skapat
21:38:57 | H.R.N.(22): rütbe
21:38:57 | [OTOBUSCU] Emirbaba3373, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 230 Saniye
21:39:0 | [CMD] Gazapizm_(20) => /sac
21:39:4 | [LOCAL][eN]Overlord(33): Cutter Jant yap
21:39:4 | [CMD] [eN]Overlord(33) => /l Cutter Jant yap
21:39:4 | [CMD] H.R.N.(22) => /araba
21:39:4 | [CMD] Gazapizm_(20) => /isteksarki 90
21:39:4 | [LOCAL]UgurBey(7): yusuf geçmiþe baksýn
21:39:4 | [CMD] UgurBey(7) => /l yusuf geçmiþe baksýn
21:39:5 | [LOCAL][KGT]Ruhatcan(25): hatta 500m vardý 1000 eksikti at demiþtim sana þimdi hepsi sýfýrlandý 1500m gitmiþ oldu
21:39:5 | [CMD] [KGT]Ruhatcan(25) => /l hatta 500m vardý 1000 eksikti at demiþtim sana þimdi hepsi sýfýrlandý 1500m gitmiþ oldu
21:39:5 | [CMD] [eN]Overlord(33) => /kemer
21:39:10 | iYasinBey(19): bana 3m verecek gusüllü müslüman gardaþlarýmýzý bekliyoruz...
21:39:10 | Emirbaba3373(29): bize de verecekmisiniz :D
21:39:10 | [AsLt]Cicek.Abbas.(30): dorse buga girdi admin
21:39:11 | [CMD] ubeydo(6) => /meslek
21:39:11 | [LOCAL]UgurBey(7): ona göre atsýn
21:39:11 | [CMD] UgurBey(7) => /l ona göre atsýn
21:39:12 | [CMD] [eN]Overlord(33) => /work
21:39:12 | [CMD] DarkFlow(8) => /tamir
21:39:13 | Emirbaba3373(29): bize de verecekmisiniz :D
21:39:15 | CagatayBro(13): arabaya dikkat
21:39:21 | GSLIMERT(21): arac res
21:39:22 | [AsLt]Cicek.Abbas.(30) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:39:22 | Gazapizm_(20): cutter jant
21:39:23 | [CMD] Emirbaba3373(29) => /work
21:39:23 | DEDEKOK(36): id 34 gps filan yokmu svde
21:39:24 | becoche(26) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:39:26 | iYasinBey(19): bana 3m verecek gusüllü müslüman gardaþlarýmýzý bekliyoruz...
21:39:26 | GSLIMERT(21): arac res
21:39:26 | {FFCC00}ubeydo(6) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:39:27 | [CMD] tavsanpaladin55(16) => /work
21:39:33 | DEDEKOK(36): id 19 gps filan yokmu svde
21:39:33 | [LOCAL][KGT]Ruhatcan(25): tamamda senin þimdi 1500m atman gerekiyor
21:39:33 | [CMD] [KGT]Ruhatcan(25) => /l tamamda senin þimdi 1500m atman gerekiyor
21:39:34 | UgurBey(7) oyundan cIktI (Hata/Crash) (IP: 46.1.174.111)
21:39:34 | GSLIMERT(21): arac res
21:39:35 | [CMD] ubeydo(6) => /rescue
21:39:39 | [KGT]Ruhatcan(25): cenabetim :D
21:39:40 | [LOCAL]sezzer(11): lan üste çýýýðk :D
21:39:40 | [CMD] sezzer(11) => /l lan üste çýýýðk :D
21:39:42 | H.R.N.(22): dedekok nereye gidecen
21:39:43 | [LOCAL]iYasinBey(19): pc yi at sen
21:39:43 | [CMD] iYasinBey(19) => /l pc yi at sen
21:39:45 | [CMD] ubeydo(6) => /araba
21:39:47 | [LOCAL]CcCAtakan1907(32): unutuyom la 
21:39:47 | [CMD] CcCAtakan1907(32) => /l unutuyom la 
21:39:48 | [CMD] H.R.N.(22) => /goto 36
21:39:48 | GSLIMERT(21): arac res
21:39:49 | [ANTIHACK] Þüpheli H.R.N.(22) => Airbreak-hack
21:39:49 | GSLIMERT(21): arac res
21:39:51 | iYasinBey(19): atma ruhatcan hayýr gelmez paradan
21:39:52 | Younapo.(28): ruhat
21:39:55 | [CMD] Jodor(37) => /vtamir
21:39:55 | iYasinBey(19): h.r.n
21:39:56 | [CMD] CagatayBro(13) => /tamir
21:39:58 | [eN]Overlord(33): AhýrBank kuruluyor.
21:39:58 | [CMD] Chilgin[byhack](34) => /setskin 34 219
21:39:58 | [CMD] Jodor(37) => /vbenzin
21:39:59 | DEDEKOK(36): san fierro otogar 
21:39:59 | [CMD] ubeydo(6) => /kemer
21:40:0 | H.R.N.(22): dedekok nereye gidecen
21:40:1 | (BANKA) kiral(17) 1602 nolu banka hesabindan 183831$ cekti.
21:40:1 | GSLIMERT(21): arac res
21:40:1 | Younapo.(28): bilmemize gerek yoktu
21:40:1 | [LOCAL][KGT]Ruhatcan(25): atacam en sonra :D
21:40:1 | [CMD] [KGT]Ruhatcan(25) => /l atacam en sonra :D
21:40:2 | GSLIMERT(21): arac res
21:40:3 | DEDEKOK(36): san fierro otogar 
21:40:4 | [CMD] eren1616(38) => /isteksarki 1553
21:40:4 | iYasinBey(19): Arac Res Geliyor... Ýyi Oyunlar...
21:40:5 | Younapo.(28): ruhatcan
21:40:5 | iYasinBey(19): Arac Res Geliyor... Ýyi Oyunlar...
21:40:6 | [AsLt]Cicek.Abbas.(7) oyuna girdi [IP: 176.216.83.37]
21:40:6 | Fublary3003(12): benden de adlý D:AW
21:40:8 | H.R.N.(22): bin aracýna takip et
21:40:8 | [CMD] iYasinBey(19) => /respawncars
21:40:15 | 
21:40:15 | [CMD] iYasinBey(19) => /goto 22
21:40:16 | {FFCC00}[AsLt]Cicek.Abbas.(7) {FFFFFF}Kamyoncu olarak spawn oldu.
21:40:17 | H.R.N.(22): takipet
21:40:20 | [CMD] thunder(14) => /ceviþr
21:40:20 | [LOCAL][KGT]Ruhatcan(25): la skorda sýkýntý yok uður verdide parayý daha vermedi :D
21:40:20 | [CMD] [KGT]Ruhatcan(25) => /l la skorda sýkýntý yok uður verdide parayý daha vermedi :D
21:40:20 | [CMD] [AsLt]Cicek.Abbas.(7) => /rescue
21:40:20 | [CMD] Chilgin[byhack](34) => /meslek
21:40:22 | [CMD] thunder(14) => /cevir
21:40:23 | [eN]Overlord(33): @14 /cevir cabuk
21:40:23 | Chilgin[byhack](34) Itfaiyeci olarak spawn oldu.
21:40:25 | [CMD] CagatayBro(13) => /c reis eyw
21:40:26 | [CMD] CagatayBro(13) => /c lag oldu
21:40:28 | DEDEKOK(36): h.r.n
21:40:33 | [CMD] Chilgin[byhack](34) => /setskin 34 219
21:40:35 | DEDEKOK(36): gps yokmu svde
21:40:35 | [CMD] Cht(23) => /cevir
21:40:35 | [CMD] Konyali42(35) => /c bsy degl :d
21:40:36 | [CMD] [AsLt]Cicek.Abbas.(7) => /rescue
21:40:36 | [eN]Overlord(33): aman aman
21:40:37 | [CMD] Cht(23) => /cevir
21:40:37 | [KGT]Ruhatcan(25): lag test
21:40:38 | [CMD] Jodor(37) => /convoyuye
21:40:38 | (BANKA) kiral(17) 2162 nolu banka hesabina 1000000$ yatirdi.
21:40:39 | [CMD] Younapo.(28) => /report 6 beleþ giþe geçme
21:40:41 | [CMD] iYasinBey(19) => /goto 22
21:40:42 | [KGT]Ruhatcan(25): lag test
21:40:42 | thunder(14): :)
21:40:43 | H.R.N.(22): yok gps benim takip et
21:40:44 | [CMD] DEDEKOK(36) => /kemer
21:40:47 | [KGT]Ruhatcan(25) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:40:47 | [CMD] Chilgin[byhack](34) => /spec 6
21:40:48 | [CMD] iYasinBey(19) => /kemer
21:40:51 | [CMD] [eN]Overlord(33) => /tamir
21:40:55 | Gazapizm_(20): beleþ yok :d
21:40:56 | BrownCute(18): iþyeri felan satan varmý?
21:40:57 | [CMD] eren1616(38) => /dtemizle
21:40:57 | [CMD] iYasinBey(19) => /spec 6
21:40:57 | Younapo.(28): admin inan bana
21:40:58 | [AsLt]Cicek.Abbas.(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:40:59 | [CMD] thunder(14) => /fps
21:40:59 | [SWAT]DeaD[POH](7) oyuna girdi [IP: 158.181.40.153]
21:41:3 | (BANKA) kiral(17) 2132 nolu banka hesabina 1000000$ yatirdi.
21:41:5 | [CMD] iYasinBey(19) => /sikayetler
21:41:7 | [CMD] Chilgin[byhack](34) => /specoff
21:41:7 | Chilgin[byhack](34) Itfaiyeci olarak spawn oldu.
21:41:7 | [CMD] ubeydo(6) => /tamir
21:41:7 | SiskoDayi(9) oyuna girdi [IP: 88.254.251.55]
21:41:8 | [LOCAL]CcCAtakan1907(32): boþuna 3 kumarhaneden 1 kumarhane kaldý
21:41:8 | [CMD] CcCAtakan1907(32) => /l boþuna 3 kumarhaneden 1 kumarhane kaldý
21:41:8 | [KGT]Ruhatcan(25) oyuna girdi [IP: 95.7.191.160]
21:41:11 | [CMD] Chilgin[byhack](34) => /setskin 34 219
21:41:13 | [CMD] Konyali42(35) => /admins
21:41:13 | 
21:41:16 | {FFCC00}[SWAT]DeaD[POH](7) {FFFFFF}Kamyoncu olarak spawn oldu.
21:41:18 | [LOCAL]CcCAtakan1907(32): iyi bari 4lvllik kalmýþ :D
21:41:18 | [CMD] CcCAtakan1907(32) => /l iyi bari 4lvllik kalmýþ :D
21:41:21 | 
21:41:21 | 
21:41:22 | [LOCAL]iYasinBey(19): aga beleþ giþe geçmiþsin doðru mudur?
21:41:22 | [CMD] iYasinBey(19) => /l aga beleþ giþe geçmiþsin doðru mudur?
21:41:22 | (BANKA) kiral(17) 1602 nolu banka hesabina 1000000$ yatirdi.
21:41:24 | {FFCC00}[KGT]Ruhatcan(25) {FFFFFF}Kamyoncu olarak spawn oldu.
21:41:26 | {FFCC00}SiskoDayi(9) {FFFFFF}Kamyoncu olarak spawn oldu.
21:41:27 | [CMD] CagatayBro(13) => /c nazar degdi bana
21:41:30 | [CMD] Konyali42(35) => /c :d
21:41:32 | [LOCAL]CcCAtakan1907(32): 7m birikmiþ
21:41:32 | [CMD] CcCAtakan1907(32) => /l 7m birikmiþ
21:41:32 | [AsLt]Cicek.Abbas.(26) oyuna girdi [IP: 176.216.83.37]
21:41:32 | SAMETR441(15): YAV BEN YENÝYÝM ÝÞ BAÞLATMAYI NERDEN YAPIYORUZ
21:41:33 | [CMD] SiskoDayi(9) => /sa
21:41:33 | [CMD] H.R.N.(22) => /skapat
21:41:33 | [KGT]Ruhatcan(25): yasin uðurun yanýndaysan çek
21:41:35 | [CMD] [eN]Overlord(33) => /tamir
21:41:36 | [CMD] SiskoDayi(9) => /admins
21:41:37 | [SirketCHT] DarkFlow(8): ! hg
21:41:38 | tavsanpaladin55(16): Araç res
21:41:40 | 
21:41:40 | [CMD] Gazapizm_(20) => /asiriyuk
21:41:42 | [CMD] Gazapizm_(20) => /asiriyuk
21:41:42 | {FFCC00}[AsLt]Cicek.Abbas.(26) {FFFFFF}Kamyoncu olarak spawn oldu.
21:41:43 | [LOCAL]tavsanpaladin55(16): atla
21:41:43 | [CMD] tavsanpaladin55(16) => /l atla
21:41:45 | iYasinBey(19): deðilim
21:41:45 | eren1616(38) oyundan cIktI (Hata/Crash) (IP: 95.10.17.0)
21:41:46 | [KGT]Ruhatcan(25): lag
21:41:47 | [CMD] DarkFlow(8) => /as
21:41:48 | [CMD] Konyali42(35) => /tamir
21:41:48 | [CMD] thunder(14) => /asiriyuk
21:41:49 | tavsanpaladin55(16): Araç res
21:41:49 | [CMD] [AsLt]Cicek.Abbas.(26) => /rescue
21:41:50 | [CMD] iYasinBey(19) => /uyar 15 Caps Lock
21:41:51 | [CMD] SiskoDayi(9) => /sirket
21:41:53 | [CMD] tavsanpaladin55(16) => /akilitac
21:41:53 | [CMD] Gazapizm_(20) => /tamir
21:41:55 | [CMD] tavsanpaladin55(16) => /work
21:41:55 | [KGT]Ruhatcan(25): hay böyle lagýn
21:41:56 | [CMD] thunder(14) => /fps
21:41:58 | [CMD] [eN]Overlord(33) => /asiriyuk
21:41:58 | [AsLt]Cicek.Abbas.(26): polis yokmu bozok þirketteyim
21:42:1 | [CMD] Chilgin[byhack](34) => /work
21:42:1 | [CMD] sezzer(11) => /tamir
21:42:2 | [SirketCHT] Jodor(37): ! kim geldi :D
21:42:3 | [CMD] [vK]Jinx.(0) => /tamir
21:42:4 | [CMD] Jodor(37) => /as
21:42:4 | [CMD] sezzer(11) => /work
21:42:5 | [CMD] BrownCute(18) => /iþyeri
21:42:5 | DEDEKOK(36): h.rn bekle
21:42:7 | [CMD] BrownCute(18) => /isyeri
21:42:8 | [SirketCHT] DarkFlow(8): ! dayý :D
21:42:9 | [CMD] ubeydo(6) => /rescue
21:42:10 | kiral(17): pizzacýda yada itfaiyecide ortak oluyomu
21:42:11 | [CMD] [vK]Jinx.(0) => /work
21:42:12 | [CMD] BrownCute(18) => /yardim
21:42:15 | [CMD] CagatayBro(13) => /vtamir
21:42:17 | [CMD] CagatayBro(13) => /vbenzin
21:42:19 | Konyali42(35): id 12 hayirmi gitmiyorsun ? convoymu bekliyorsun
21:42:21 | Chilgin[byhack](34): pizza cý bug lu
21:42:22 | [SirketCHT] Jodor(37): ! dayý bizim þirketten deðil :D
21:42:24 | H.R.N.(22): dede yavaþ
21:42:25 | tavsanpaladin55(16): olmuyo reis
21:42:28 | [CMD] [KGT]Ruhatcan(25) => /pm 37 reis o kadar kasmýþtým þirket yetkilisi için ama hepsi gitti sen þimdi versen olurmu 
21:42:31 | kiral(17): tmm
21:42:33 | eren1616(30) oyuna girdi [IP: 95.10.17.0]
21:42:34 | [CMD] [KGT]Ruhatcan(25) => /pm 37 ben kasýyom zaten
21:42:36 | [CMD] SiskoDayi(9) => /sikayet 15 alýn su adamý yav
21:42:38 | [CMD] Konyali42(35) => /c görevi baslatmadan önce bekle
21:42:38 | [CMD] Konyali42(35) => /c görevi baslatmadan önce bekle
21:42:39 | [CMD] CagatayBro(13) => /c younapo sakin :D
21:42:39 | [CMD] DarkFlow(8) => /sirket
21:42:46 | [AsLt]Cicek.Abbas.(26) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:42:46 | BrownCute(18): iþyeri satan ve ya satýlýk biyer bilen yokmu??
21:42:46 | [CMD] Konyali42(35) => /c polis gitmesse report
21:42:46 | [LOCAL]SiskoDayi(9): vurma
21:42:46 | [CMD] SiskoDayi(9) => /l vurma
21:42:46 | [CMD] Jodor(37) => /pm 25 kaç akstýn :D
21:42:47 | [CMD] DarkFlow(8) => /sirket
21:42:49 | 
21:42:49 | [CMD] Chilgin[byhack](34) => /spec 15
21:42:50 | [LOCAL]SiskoDayi(9): ne vuruyon
21:42:50 | [CMD] SiskoDayi(9) => /l ne vuruyon
21:42:52 | H.R.N.(22): sf otogar bura
21:42:53 | Younapo.(28): Polis defvol
21:42:53 | [CMD] [vK]Jinx.(0) => /pm 34 5 ay oldu neredeyse belký daha fazla halen ndn duzelmedi?
21:42:54 | {FFCC00}eren1616(30) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:42:54 | [CMD] Jodor(37) => /pm 25 1m dir 400k dýr :D
21:42:55 | [CMD] Konyali42(35) => /report 12 convoy bekleme
21:42:58 | [SirketCHT] DarkFlow(8): ! jodor
21:42:59 | [CMD] CagatayBro(13) => /c polis defol :D
21:43:0 | [OTOBUSCU] Emirbaba3373, Las Venturas Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 416 Saniye
21:43:1 | [LOCAL]SiskoDayi(9): la vurma
21:43:1 | [CMD] SiskoDayi(9) => /l la vurma
21:43:1 | [CMD] DEDEKOK(36) => /goreviptal
21:43:1 | [SirketCHT] DarkFlow(8): ! noldu ki
21:43:1 | [CMD] [KGT]Ruhatcan(25) => /pm 37 2 m ye yakýndý
21:43:2 | [SirketCHT] Jodor(37): ! evet
21:43:4 | DEDEKOK(36): h.r.n
21:43:7 | [SirketCHT] DarkFlow(8): ! ayrýlmýs 
21:43:8 | [CMD] ubeydo(6) => /rescue
21:43:8 | Younapo.(28): Defol yoksa admin çaðýrcam
21:43:9 | [SirketCHT] Jodor(37): ! kendisi çýkmak istedi sebebi yok
21:43:10 | [LOCAL]SiskoDayi(9): arkadaþým
21:43:10 | [CMD] SiskoDayi(9) => /l arkadaþým
21:43:10 | [CMD] [KGT]Ruhatcan(25) => /pm 37 ama ben kasarým yinede sen ver lütfen :D
21:43:11 | DEDEKOK(36): para atabilirmisin biþey anlamadým bundan
21:43:13 | [CMD] CagatayBro(13) => /c younapo reis kapatma oray
21:43:16 | [CMD] CagatayBro(13) => /c dön gel
21:43:16 | [CMD] Chilgin[byhack](34) => /pm 0 okadar kolamýylý la 
21:43:18 | [CMD] [eN]Overlord(33) => /tamir
21:43:19 | [SirketCHT] Jodor(37): ! pazar günü bakarýz ruhat
21:43:20 | [CMD] Konyali42(35) => /report 0 convoy bekleme
21:43:21 | [SirketCHT] DarkFlow(8): ! hmm fark yapmaz 
21:43:22 | CagatayBro(13): 32 
21:43:24 | [CMD] iYasinBey(19) => /spec 28
21:43:24 | [CMD] DEDEKOK(36) => /modifiye
21:43:25 | H.R.N.(22): sen görevde deðilmiysin
21:43:27 | CagatayBro(13): kardeþim görevine git
21:43:28 | Younapo.(28): Admin
21:43:29 | [CMD] GSLIMERT(21) => /sirket
21:43:30 | [CMD] Jodor(37) => /convoykontrol
21:43:31 | Younapo.(28): polis gitmiyor
21:43:32 | [KGT]Ruhatcan(25): @28 anlaþalým def olmayayým saz olayým sonra davul olayým :D
21:43:32 | [CMD] [vK]Jinx.(0) => /pm 34 tam olarak nesi var ki?
21:43:32 | Fublary3003(12): gittim
21:43:32 | CagatayBro(13): @32 kardeþim görevine git
21:43:34 | Younapo.(28): bekliyor almamýzý
21:43:34 | [LOCAL]SiskoDayi(9): /kurallar yaz kabul et
21:43:34 | [CMD] SiskoDayi(9) => /l /kurallar yaz kabul et
21:43:34 | [CMD] H.R.N.(22) => /aractanat
21:43:35 | [CMD] Emirbaba3373(29) => /work
21:43:38 | [CMD] H.R.N.(22) => /aractanat 36
21:43:39 | [LOCAL]SiskoDayi(9): skor gelsýn
21:43:39 | [CMD] SiskoDayi(9) => /l skor gelsýn
21:43:39 | iYasinBey(19): olabilir younapo.
21:43:40 | Konyali42(35): admin reportlara bak
21:43:41 | [CMD] ubeydo(6) => /kemer
21:43:42 | Younapo.(28):  /rescue >> lv
21:43:43 | [CMD] zZPlayerZz(10) => /tamir
21:43:44 | [CMD] BrownCute(18) => /work
21:43:44 | ubeydo(6): can ress
21:43:44 | CagatayBro(13): diðer polis kim
21:43:45 | [CMD] Chilgin[byhack](34) => /pm 0 bug lu iþte la görev baþaltmýyor
21:43:46 | [CMD] Jodor(37) => /c kimi bekliyoruz
21:43:47 | Younapo.(28): yapýcaksýnýz polisler
21:43:49 | Konyali42(35): yasin bekleyemez
21:43:51 | CagatayBro(13): o daðdaki polis
21:43:52 | [CMD] SiskoDayi(9) => /rescue
21:43:53 | [CMD] DarkFlow(8) => /c baþlat
21:43:53 | [CMD] Emirbaba3373(29) => /modifiye
21:43:53 | CagatayBro(13): reportluyorum
21:43:54 | [LOCAL]CcCAtakan1907(32): ringobambam da mý admin
21:43:54 | [CMD] CcCAtakan1907(32) => /l ringobambam da mý admin
21:43:54 | Konyali42(35): convoy beklemek yasak
21:43:56 | iYasinBey(19): görevini yapmazsa yasak
21:43:59 | [LOCAL]sezzer(11): hee
21:43:59 | [CMD] sezzer(11) => /l hee
21:44:2 | H.R.N.(22): dedekok sf bura baþka sorun vamrý
21:44:2 | CagatayBro(13): iYasinBey
21:44:4 | Jodor(37): admin yok mu polisler convoyun etrafýný sarmýþ
21:44:5 | CagatayBro(13): bi ilgilenirmisin
21:44:5 | [CMD] iYasinBey(19) => /specoff
21:44:5 | {FFCC00}iYasinBey(19) {FFFFFF}Kamyoncu olarak spawn oldu.
21:44:6 | [LOCAL]CcCAtakan1907(32): o da paralý
21:44:6 | [CMD] CcCAtakan1907(32) => /l o da paralý
21:44:6 | Jodor(37): admin yok mu polisler convoyun etrafýný sarmýþ
21:44:7 | [CMD] [eN]Overlord(33) => /C hadi beyler?
21:44:8 | iYasinBey(19): tm
21:44:8 | DEDEKOK(36): hrn
21:44:8 | [KGT]Ruhatcan(25) oyundan cIktI (Hata/Crash) (IP: 95.7.191.160)
21:44:8 | CagatayBro(13): polisler konvoyu bekliyor
21:44:8 | Konyali42(35): duruyor yük almamizi bekliyorlar 
21:44:9 | Younapo.(28): Admin
21:44:12 | Emirbaba3373(29): dedekok yanýma bin
21:44:12 | [LOCAL]sezzer(11): aynen :D
21:44:12 | [CMD] sezzer(11) => /l aynen :D
21:44:13 | DEDEKOK(36): 8666 metre var dedi
21:44:15 | [CMD] iYasinBey(19) => /goto 37
21:44:17 | DarkFlow(8): polisler mesken tutmus harbourda
21:44:17 | [LOCAL]DEDEKOK(36): 8666 metre var dedi
21:44:17 | [CMD] DEDEKOK(36) => /l 8666 metre var dedi
21:44:18 | [CMD] iYasinBey(19) => /fly
21:44:18 | DarkFlow(8): :D
21:44:19 | [CMD] iYasinBey(19) => /goto 37
21:44:19 | [CMD] buyukustad(31) => /skapat
21:44:21 | [CMD] iYasinBey(19) => /fly
21:44:21 | [CMD] Chilgin[byhack](34) => /spec 0
21:44:23 | baraodichnl(25) oyuna girdi [IP: 78.176.251.66]
21:44:25 | [CMD] eren1616(30) => /modifiye
21:44:26 | Fublary3003(12): ben artýk orda deðilim
21:44:26 | Jodor(37): polisler beleþ skor peþinde
21:44:27 | [CMD] DEDEKOK(36) => /market
21:44:28 | CagatayBro(13): t
