0:0:1 | smosercan(11): yok ya 
21:49:53 | [CMD] huseyin(6) => /asay2 ~r~~h~~h~DJ alimlarimiz vardir basvurabilirsiniz. www.trucksamp.com/forum 
21:49:55 | [CMD] huseyin(6) => /asay2 ~r~~h~~h~DJ alimlarimiz vardir basvurabilirsiniz. www.trucksamp.com/forum
21:49:56 | [eN]Overlord(14): @16 kim onlar
21:49:57 | [CMD] TheFireman(19) => /work
21:50:0 | [CMD] ColdZeRa(8) => /sac
21:50:2 | Hic(16): Maskeli Beþler
21:50:8 | RavlyCoder(23): hic abi napiyosun 
21:50:9 | RavlyCoder(23): :D
21:50:11 | [CMD] BeylerBeyi(7) => /sirket
21:50:15 | Hic(16): Görev.
21:50:16 | [CMD] vevampire(22) => /work
21:50:17 | [LOCAL]RavlyCoder(23): ben süremmi
21:50:17 | [CMD] RavlyCoder(23) => /l ben süremmi
21:50:21 | [CMD] huseyin(6) => /asay2 ~b~~h~~h~instagram :  trucksampp   hesabimizi takip etmeyi unutmayiniz.
21:50:21 | Hic(16): Affirmative
21:50:22 | ASLANBEY(12): hüseyin birdahaki sefere araba etksinde arabayý buraya sakla
21:50:25 | [CMD] TheFireman(19) => /tami
21:50:25 | ASLANBEY(12): :D :D
21:50:25 | huseyin(6): :D
21:50:27 | [CMD] TheFireman(19) => /tamir
21:50:29 | [CMD] huseyin(6) => /goto 12 
21:50:30 | Konyali42(11): "hic"birsey yapmiyor
21:50:32 | [CMD] Konyali42(11) => /work
21:50:32 | huseyin(6): bulamazlar
21:50:33 | [LOCAL]vevampire(22): bas gaza
21:50:33 | [CMD] vevampire(22) => /l bas gaza
21:50:34 | [CMD] H.R.N.(17) => /goto 12
21:50:36 | [CMD] H.R.N.(17) => /goto 12
21:50:37 | [CMD] huseyin(6) => /slap 6 
21:50:38 | [CMD] ASLANBEY(12) => /animkapat
21:50:39 | [CMD] huseyin(6) => /balon
21:50:41 | Hic(16): Aððhh Galbim
21:50:42 | [CMD] huseyin(6) => /goto 12  
21:50:43 | ASLANBEY(12): :D
21:50:44 | [CMD] huseyin(6) => /goto 12  
21:50:44 | H.R.N.(17) Gemici olarak spawn oldu.
21:50:44 | [CMD] huseyin(6) => /goto 12  
21:50:45 | [CMD] H.R.N.(17) => /goto 12
21:50:45 | [eN]Overlord(14) oyundan cIktI (Hata/Crash) (IP: 95.13.66.238)
21:50:45 | [CMD] huseyin(6) => /balon
21:50:49 | [CMD] Berkay08(9) => /work
21:50:54 | Hic(16): Hüseyin Kalp Atta Kalbim Yerine Gelsin
21:50:54 | [CMD] huseyin(6) => /giveweapon 6 para 1 
21:50:54 | [CMD] TheFireman(19) => /work
21:50:58 | [CMD] huseyin(6) => /myskin 181
21:50:58 | Berkay08(9):  /workwork
21:50:59 | [CMD] Konyali42(11) => /tamir
21:50:59 | vevampire(22): solþa dikkat direðe vurursun beni :DF
21:51:0 | huseyin(6): <3 
21:51:3 | [CMD] Berkay08(9) => /work
21:51:3 | [LOCAL]RavlyCoder(23): gaza basilmiod
21:51:3 | [CMD] RavlyCoder(23) => /l gaza basilmiod
21:51:4 | Hic(16): Eyw
21:51:6 | Hic(16): <3 
21:51:8 | [LOCAL]vevampire(22): solþa dikkat direðe vurursun beni :DF
21:51:8 | [CMD] vevampire(22) => /l solþa dikkat direðe vurursun beni :DF
21:51:10 | huseyin(6): kalp atmaya alýþkýn deðilim
21:51:12 | H.R.N.(17): ben zor geldim nasýl bulsunlar
21:51:16 | [CMD] RavlyCoder(23) => /tamir
21:51:19 | Hic(16): Almaya mý alýþkýnsýn ?
21:51:19 | eren1616(14) oyuna girdi [IP: 95.10.191.192]
21:51:20 | [LOCAL]ASLANBEY(12): balonla gezdir bizi
21:51:20 | [CMD] ASLANBEY(12) => /l balonla gezdir bizi
21:51:21 | [CMD] Berkay08(9) => /asiriyuk
21:51:26 | huseyin(6): Tabi.
21:51:32 | Hic(16): Al sanaa
21:51:33 | Hic(16): <3 
21:51:34 | [CMD] Konyali42(11) => /tamir
21:51:36 | [CMD] H.R.N.(17) => /r huseyin PARAþüt verr
21:51:41 | [CMD] BeylerBeyi(7) => /d 1486-635bö-762
21:51:43 | [CMD] huseyin(6) => /r paraþütsüz atla .d
21:51:44 | [CMD] huseyin(6) => /goto 12 
21:51:45 | [CMD] H.R.N.(17) => /araba
21:51:50 | 
21:51:50 | [CMD] Hic(16) => /r Hüeyin paraSÜT ver yatýcam
21:51:50 | [CMD] huseyin(6) => /goto 6 
21:51:57 | eren1616(14) Gemici olarak spawn oldu.
21:52:0 | [CMD] eren1616(14) => /admgiris
21:52:2 | [CMD] eren1616(14) => /sa
21:52:4 | [CMD] TheFireman(19) => /tamir
21:52:5 | [CMD] Berkay08(9) => /as
21:52:5 | [CMD] huseyin(6) => /silahizni 17 
21:52:6 | [CMD] ASLANBEY(12) => /as
21:52:8 | [eN]Overlord(15) oyuna girdi [IP: 95.13.66.238]
21:52:8 | [CMD] Konyali42(11) => /as
21:52:9 | Hic(16): Aleyküm Selam.
21:52:10 | [CMD] huseyin(6) => /giveweapon 17 para 1 
21:52:10 | [CMD] TheFireman(19) => /work
21:52:14 | ASLANBEY(12): motorla uç hrn
21:52:14 | [CMD] Tuan_Tiniay(13) => /rentcar
21:52:14 | [CMD] eren1616(14) => /boat
21:52:16 | [CMD] BeylerBeyi(7) => /asay Ýstek Þarkýnýz Çalýnýyor. Ýyi Oyunlar Dileriz...
21:52:17 | [LOCAL]vevampire(22): solþa dikkat direðe vurursun beni :DF
21:52:17 | [CMD] vevampire(22) => /l solþa dikkat direðe vurursun beni :DF
21:52:17 | [CMD] huseyin(6) => /giveweapon 6 para 1  
21:52:18 | [CMD] TheFireman(19) => /stats
21:52:19 | [CMD] eren1616(14) => /fly
21:52:19 | 
21:52:20 | [CMD] BeylerBeyi(7) => /d 635bö-762
21:52:21 | ASLANBEY(12): :D
21:52:21 | {FFCC00}[eN]Overlord(15) {FFFFFF}Kamyoncu olarak spawn oldu.
21:52:25 | [CMD] Berkay08(9) => /sac
21:52:25 | ASLANBEY(12): geberecen lan
21:52:26 | [LOCAL]RavlyCoder(23): :d
21:52:26 | [CMD] RavlyCoder(23) => /l :d
21:52:26 | [CMD] eren1616(14) => /car lou 1 1
21:52:28 | [CMD] Konyali42(11) => /tamir
21:52:29 | [CMD] eren1616(14) => /fly
21:52:30 | H.R.N.(17): hadi gidiyom benn
21:52:31 | [eN]Overlord(15): Coni reis Türkiye abur cuburlarýný tadýyor 720p
21:52:31 | [CMD] eren1616(14) => /boat
21:52:32 | ASLANBEY(12): beraber geberek Ç:D
21:52:33 | huseyin(6): gebersin býrak
21:52:33 | [CMD] [eN]Overlord(15) => /saat 12
21:52:35 | [eN]Overlord(15): Coni reis Türkiye abur cuburlarýný tadýyor 720p
21:52:37 | ASLANBEY(12): ana 
21:52:38 | [CMD] eren1616(14) => /rescue
21:52:39 | huseyin(6): maden beni niye atýyon
21:52:39 | [CMD] BeylerBeyi(7) => /d 635bö-762retron
21:52:44 | [CMD] eren1616(14) => /fly
21:52:44 | huseyin(6): öldüm 
21:52:46 | {FFCC00}huseyin(6) Otobus Soforu olarak spawn oldu.
21:52:47 | [CMD] [eN]Overlord(15) => /gobus
21:52:50 | [CMD] huseyin(6) => /sac
21:52:51 | RavlyCoder(23): ismail yk facebook yok :C
21:52:53 | [CMD] H.R.N.(17) => /goto 6
21:52:54 | RavlyCoder(23): skdjfslþfd
21:52:54 | [eN]Overlord(15): bu küçük gofreti denicem
21:52:55 | vevampire(22): :D
21:52:56 | [CMD] [eN]Overlord(15) => /araba
21:52:56 | Hic(16): Joni reis trendlerde birinci olmuþ beyler.
21:52:59 | [CMD] eren1616(14) => /boat
21:53:1 | [CMD] eren1616(14) => /boat
21:53:2 | ASLANBEY(12): hrn nereye gittin
21:53:7 | [CMD] huseyin(6) => /gopos -1350.56 332.46 
21:53:8 | [LOCAL]H.R.N.(17): þþ
21:53:8 | [CMD] H.R.N.(17) => /l þþ
21:53:8 | ASLANBEY(12): motorunu çek yanýna
21:53:8 | [CMD] RavlyCoder(23) => /tamir
21:53:10 | [CMD] eren1616(14) => /car lau 1 1
21:53:11 | [eN]Overlord(15): adam piþmaniyhe falan yollasaydý beðenirdi
21:53:12 | [LOCAL]H.R.N.(17): mcuk
21:53:12 | [CMD] H.R.N.(17) => /l mcuk
21:53:17 | [CMD] huseyin(6) => /gopos 1555.85 -1350.56 332.46 
21:53:18 | H.R.N.(17):  taktak
21:53:19 | [CMD] [eN]Overlord(15) => /kemer
21:53:19 | [CMD] huseyin(6) => /get 17 
21:53:21 | gorkemu24(18) oyuna girdi [IP: 94.123.202.143]
21:53:21 | [CMD] huseyin(6) => /get 17 
21:53:22 | [CMD] eren1616(14) => /car lau 1 1
21:53:24 | vevampire(22): :D
21:53:24 | H.R.N.(17): pardon D: týk týk
21:53:25 | [CMD] huseyin(6) => /myskin 285
21:53:25 | Hic(16): Ben Olaydým Lahmacun Yollardým.
21:53:26 | {FFCC00}TheFireman(19) {FFFFFF}Pilot olarak spawn oldu.
21:53:26 | [CMD] TheFireman(19) => /rescue
21:53:27 | BeylerBeyi(7): :D
21:53:27 | [CMD] huseyin(6) => /31
21:53:27 | vevampire(22): hýyarý
21:53:28 | [CMD] TheFireman(19) => /rescue
21:53:31 | [CMD] huseyin(6) => /dtemizle 
21:53:31 | [CMD] huseyin(6) => /asay2 s  
21:53:31 | [CMD] eren1616(14) => /car lau 1 1
21:53:33 | [CMD] huseyin(6) => /a hg
21:53:36 | [CMD] TheFireman(19) => /kemer
21:53:37 | [CMD] TheFireman(19) => /work
21:53:38 | 
21:53:39 | [CMD] eren1616(14) => /car lau 1 1
21:53:40 | vevampire(22): vallaha ben calmadým :D
21:53:41 | RavlyCoder(23): keske
21:53:41 | {FFCC00}gorkemu24(18) {FFFFFF}Kamyoncu olarak spawn oldu.
21:53:44 | [CMD] eren1616(14) => /car lau 1 1
21:53:46 | [CMD] TheFireman(19) => /kemer
21:53:47 | RavlyCoder(23): cöpcü ehliyetidew
21:53:49 | RavlyCoder(23): olsa
21:53:49 | H.R.N.(17): ne taraftan atlayak
21:53:51 | [LOCAL]huseyin(6): atla bi
21:53:51 | [CMD] huseyin(6) => /l atla bi
21:53:51 | [eN]Overlord(15): bu küçük gofreti denicem- Sins reis
21:53:54 | [CMD] eren1616(14) => /boat
21:53:55 | [CMD] huseyin(6) => /silahizni 17 
21:53:56 | [LOCAL]Konyali42(11): yemedi :D
21:53:56 | [CMD] Konyali42(11) => /l yemedi :D
21:54:1 | H.R.N.(17): hoayda
21:54:1 | eren1616(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:54:4 | huseyin(6): asfasf
21:54:5 | BeylerBeyi(7): aha dorse gitti
21:54:5 | H.R.N.(17) Gemici olarak spawn oldu.
21:54:6 | ASLANBEY(12): :D
21:54:7 | [CMD] Hic(16) => /kemer
21:54:9 | ASLANBEY(12): aha öldü :D
21:54:10 | [CMD] huseyin(6) => /goto 12 
21:54:11 | [CMD] H.R.N.(17) => /goto 6
21:54:14 | Berkay08(9): ali knk g.o
21:54:15 | Hic(16): Joni reis çok kaslý adam la
21:54:15 | BeylerBeyi(7): id de bilmiyorum gitti :D
21:54:15 | [CMD] H.R.N.(17) => /sac
21:54:17 | BeylerBeyi(7): eyw
21:54:19 | vevampire(22): arkaya gec
21:54:24 | gorkemu24(18): 20 m ye araba önerýn la
21:54:26 | [eN]Overlord(15): Þirketten atýldýnýz h.o
21:54:29 | [CMD] huseyin(6) => /a ben kaçtým sana kg 
21:54:31 | Hic(16): Ayný Hüseyin gibi Kaslý Adam.
21:54:42 | [eN]Overlord(15): Hüseyin ile vs atsa
21:54:44 | [CMD] Tuan_Tiniay(13) => /tamir
21:54:45 | [CMD] TheFireman(19) => /work
21:54:46 | [eN]Overlord(15): Hüseyin reis rakýyla döver
21:54:54 | Berkay08(9): hüseyin ban atar
21:54:56 | RavlyCoder(23): geliom bekle burdaki cöpü alýp skdfjsdf
21:54:56 | Hic(16): Hüseyin Baba Tek Atar.
21:54:56 | Berkay08(9): :D
21:54:58 | BeylerBeyi(7): sana nenni dinletirim inim inim inletirim
21:54:59 | H.R.N.(17): týktýk. kim o. benben.
21:55:2 | [CMD] ASLANBEY(12) => /araba
21:55:8 | [CMD] ColdZeRa(8) => /goreviptal
21:55:13 | [eN]Overlord(15): Tosunum dön gel artýk
21:55:16 | ColdZeRa(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:55:16 | [CMD] gorkemu24(18) => /galeri
21:55:18 | eren1616(8) oyuna girdi [IP: 95.10.191.192]
21:55:19 | [LOCAL]vevampire(22): bas gaza kaptaan
21:55:19 | [CMD] vevampire(22) => /l bas gaza kaptaan
21:55:22 | [CMD] huseyin(6) => /kemer
21:55:23 | [CMD] huseyin(6) => /dtemizle 
21:55:23 | [CMD] huseyin(6) => /asay2 s  
21:55:31 | [CMD] [eN]Overlord(15) => /Pm 7 ekledin mi caným
21:55:32 | [LOCAL]vevampire(22): direklere dikkat
21:55:32 | [CMD] vevampire(22) => /l direklere dikkat
21:55:33 | [CMD] Konyali42(11) => /work
21:55:34 | [CMD] Konyali42(11) => /tamir
21:55:35 | [CMD] BeylerBeyi(7) => /d 635bö-762retron
21:55:35 | [CMD] [eN]Overlord(15) => /sac
21:55:38 | [CMD] RavlyCoder(23) => /tamir
21:55:39 | [CMD] [eN]Overlord(15) => /skapat
21:55:39 | Hic(16): "Laf sokarým yerinden aklýn oynar yerinden" - Hüseyin diss to Johnny Sins.
21:55:51 | [CMD] BeylerBeyi(7) => /asay Ýstek Þarkýnýz Çalýnýyor. Ýyi Oyunlar Dileriz...
21:55:51 | eren1616(8) oyundan cIktI (Hata/Crash) (IP: 95.10.191.192)
21:55:52 | [LOCAL]vevampire(22): oyun kasýyo :D
21:55:52 | [CMD] vevampire(22) => /l oyun kasýyo :D
21:55:57 | [CMD] BeylerBeyi(7) => /pm 15 yok knk istekler var
21:56:0 | [eN]Overlord(15): Sevmeyi beceremedim Becermeyi Sevdim - Johnny Sins.
21:56:0 | [LOCAL]RavlyCoder(23): skdjfsdf
21:56:0 | [CMD] RavlyCoder(23) => /l skdjfsdf
21:56:0 | Konyali42(11): gölge olur cinaralti sana girsin f 16 :D
21:56:2 | [CMD] Konyali42(11) => /cevir
21:56:2 | [eN]Overlord(15): Sevmeyi beceremedim Becermeyi Sevdim - Johnny Sins.
21:56:4 | [CMD] Konyali42(11) => /tamir
21:56:4 | [CMD] BeylerBeyi(7) => /pm 15 çýkacaðýma yakýn eklerim
21:56:6 | Hic(16): :d
21:56:8 | [CMD] [eN]Overlord(15) => /pm 7 tm
21:56:11 | [CMD] RavlyCoder(23) => /tamir
21:56:14 | [CMD] TheFireman(19) => /work
21:56:17 | [eN]Overlord(15): ekmeði elden
21:56:19 | eren1616(8) oyuna girdi [IP: 95.10.191.192]
21:56:21 | Karpuzlupasta(14) oyuna girdi [IP: 151.250.252.62]
21:56:21 | Hic(16): O laflar boy boy seni sevsin Recep Kovboy
21:56:23 | [eN]Overlord(15): rakýyý hüseyinden içicen
21:56:32 | 
21:56:32 | 
21:56:34 | H.R.N.(17): gonuþmaleðn
21:56:45 | [CMD] Konyali42(11) => /cevir
21:56:46 | RavlyCoder(23): gizli cöp bulma cabasi
21:56:46 | Hic(16): Noldu la Nikolay saða Koymak Nikolay
21:56:47 | 
21:56:47 | {FFCC00}Karpuzlupasta(14) {FFFFFF}Pilot olarak spawn oldu.
21:56:47 | [CMD] Konyali42(11) => /tamir
21:56:48 | [CMD] TheFireman(19) => /tamir
21:56:50 | [CMD] BeylerBeyi(7) => /uyeal 8
21:56:51 | Karpuzlupasta(14): sa
21:56:52 | [LOCAL]vevampire(22): :D
21:56:52 | [CMD] vevampire(22) => /l :D
21:56:52 | [CMD] BeylerBeyi(7) => /sirket
21:56:53 | [CMD] [eN]Overlord(15) => /as
21:56:54 | Hic(16): böðöðöðöðö
21:56:54 | [CMD] Konyali42(11) => /as
21:56:55 | [CMD] eren1616(8) => /sirket
21:56:55 | [CMD] Berkay08(9) => /as
21:56:56 | [eN]Overlord(15):  /sa /as
21:56:57 | Karpuzlupasta(14): uzun bi aradan sonra .d
21:56:59 | Hic(16): Aleyküm Selam.
21:57:0 | [LOCAL]H.R.N.(17): hüseyin topladým bütün dorseleri
21:57:0 | [CMD] H.R.N.(17) => /l hüseyin topladým bütün dorseleri
21:57:5 | [CMD] BeylerBeyi(7) => /meslek
21:57:5 | [LOCAL]huseyin(6): Nays
21:57:5 | [CMD] huseyin(6) => /l Nays
21:57:7 | [CMD] huseyin(6) => /cantazele
21:57:7 | [SirketCHT] eren1616(8): ! þirket yerimi deðiþti ?
21:57:10 | [SirketCHT] BeylerBeyi(7): ! evet
21:57:10 | [CMD] eren1616(8) => /rescue
21:57:12 | [CMD] BeylerBeyi(7) => /rescue
21:57:14 | Karpuzlupasta(14): þirketten atýlmýþým
21:57:15 | [CMD] gorkemu24(18) => /galeri
21:57:16 | [SirketCHT] BeylerBeyi(7): ! gel bak
21:57:16 | [CMD] huseyin(6) => /a eren
21:57:17 | Karpuzlupasta(14): ok
21:57:17 | [eN]Overlord(15): zoziz ve zalam
21:57:18 | vevampire(22): abi yavaþ
21:57:18 | Hic(16): Beyler
21:57:19 | [CMD] BeylerBeyi(7) => /uyael 14
21:57:21 | [SirketCHT] eren1616(8): ! benim dediðim yeri almýþsýnýz :D
21:57:22 | vevampire(22): :d
21:57:22 | [CMD] BeylerBeyi(7) => /uyal 14
21:57:23 | Hic(16): Bugünün ardýndan
21:57:24 | [CMD] huseyin(6) => /a kaçtým bn iyi geceler
21:57:24 | gorkemu24(18): 60 levele nasýl kasacam
21:57:24 | vevampire(22): EVET
21:57:27 | ASLANBEY(12): çöpçüler çöp var bagajda :D
21:57:27 | [CMD] huseyin(6) => /admins
21:57:27 | [CMD] BeylerBeyi(7) => /uyeal 14
21:57:28 | Hic(16): Bi kuru yermiyiz
21:57:28 | vevampire(22): fail
21:57:29 | vevampire(22): :D
21:57:30 | [eN]Overlord(15): Þirketten atýldýnýz h.o
21:57:31 | [CMD] eren1616(8) => /admgiris
21:57:32 | [eN]Overlord(15): @22 c.o
21:57:36 | gorkemu24(18): 60 levele nasýl kasacam beyler 
21:57:38 | [CMD] eren1616(8) => /uyar 22 Caps
21:57:41 | [eN]Overlord(15): @18 elinle
21:57:41 | vevampire(22): :D
21:57:41 | [CMD] huseyin(6) => /a kaçtým bn iyi geceler
21:57:42 | [SirketCHT] Konyali42(11): ! pilotlukla
21:57:42 | Karpuzlupasta(14): .
21:57:43 | H.R.N.(17): vampire daha çok yolun var
21:57:46 | [CMD] eren1616(8) => /a ßß reiz
21:57:47 | Hic(16): Bugünün ardýndan herkes yoruldu
21:57:49 | vevampire(22): aynen
21:57:50 | [CMD] Karpuzlupasta(14) => /sirket
21:57:52 | [CMD] huseyin(6) => /d iyi geceler dj 
21:57:52 | [SirketCHT] eren1616(8): ! beyler
21:57:53 | Hic(16): Toplanýn gidiyok
21:57:54 | [CMD] eren1616(8) => /sirket
21:57:54 | [SirketCHT] Karpuzlupasta(14): ! .
21:57:56 | [CMD] TheFireman(19) => /work
21:57:56 | H.R.N.(17): ben bile 40 lvl im :D
21:57:56 | [CMD] BeylerBeyi(7) => /d eyw sanada
21:57:57 | [LOCAL]huseyin(6): iyi geceler beyler
21:57:57 | [CMD] huseyin(6) => /l iyi geceler beyler
21:57:57 | vevampire(22): nere
21:57:58 | [CMD] huseyin(6) => /odulall
21:57:59 | [CMD] huseyin(6) => /odulall
21:57:59 | [CMD] gorkemu24(18) => /meslek
21:57:59 | [SirketCHT] Karpuzlupasta(14): ! abi
21:57:59 | [eN]Overlord(15): nereye la
21:57:59 | [CMD] huseyin(6) => /odulall
21:57:59 | [CMD] huseyin(6) => /odulall
21:58:1 | [CMD] huseyin(6) => /adminol
21:58:1 | [LOCAL]H.R.N.(17): bb
21:58:1 | [CMD] H.R.N.(17) => /l bb
21:58:3 | huseyin(6): ßß
21:58:3 | Konyali42(11): lvl 34 -.-
21:58:3 | vevampire(22): ooooo eyw
21:58:4 | huseyin(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:58:4 | [SirketCHT] BeylerBeyi(7): ! noldu
21:58:4 | [LOCAL]ASLANBEY(12): bb
21:58:4 | [CMD] ASLANBEY(12) => /l bb
21:58:4 | RavlyCoder(23): ne blym ldskfgjsdlkfgj
21:58:4 | Berkay08(9): bb
21:58:6 | Konyali42(11): bb
21:58:6 | Hic(16): Karaambar kamyoncular derneðine
21:58:7 | Hic(16): ßß
21:58:12 | {FFCC00}gorkemu24(18) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:58:12 | [CMD] Hic(16) => /admins
21:58:12 | [SirketCHT] Karpuzlupasta(14): ! ne bilim 3 gün girmedim atmýþlar
21:58:14 | [CMD] eren1616(8) => /uyar 22 Harf Uzatma
21:58:18 | [LOCAL]eren1616(8): knk
21:58:18 | [CMD] eren1616(8) => /l knk
21:58:18 | H.R.N.(17): sw i arablar bastý
21:58:19 | [SirketCHT] BeylerBeyi(7): ! atmadýk þirket yeri deðiþti
21:58:22 | [CMD] TheFireman(19) => /tamir
21:58:24 | [SirketCHT] Karpuzlupasta(14): ! hað
21:58:25 | [LOCAL]BeylerBeyi(7): efendim knk
21:58:25 | [CMD] BeylerBeyi(7) => /l efendim knk
21:58:25 | [LOCAL]vevampire(22): nere giion bea
21:58:25 | [CMD] vevampire(22) => /l nere giion bea
21:58:26 | [eN]Overlord(15): výl ehý býr klab
21:58:30 | [LOCAL]eren1616(8): dft-30 fln alsakya flatbed vs.
21:58:30 | [CMD] eren1616(8) => /l dft-30 fln alsakya flatbed vs.
21:58:32 | H.R.N.(17): suri bumbum
21:58:32 | Berkay08(9): hüseyin öyle biyerde gitti tam giþenin önündeyken
21:58:33 | [SirketCHT] Karpuzlupasta(14): ! yok la
21:58:34 | Hic(16): Motor Yaðlý Kuru yedircem size
21:58:37 | [SirketCHT] Karpuzlupasta(14): ! bozok tan
21:58:38 | [LOCAL]BeylerBeyi(7): hangisini istiyon
21:58:38 | [CMD] BeylerBeyi(7) => /l hangisini istiyon
21:58:40 | [SirketCHT] BeylerBeyi(7): ! he
21:58:43 | H.R.N.(17): asçda.SD
21:58:44 | [SirketCHT] BeylerBeyi(7): ! bilmiyorum
21:58:45 | vevampire(22): :D
21:58:46 | [CMD] [eN]Overlord(15) => /pm 16 ya paran ya canýn koçum ani hareket yapma
21:58:48 | ASLANBEY(12): berkay görev mi yapýyon
21:58:49 | [LOCAL]eren1616(8): ikisindende 1 tane alak 170k felan oluyor ztn
21:58:49 | [CMD] eren1616(8) => /l ikisindende 1 tane alak 170k felan oluyor ztn
21:58:52 | [CMD] [eN]Overlord(15) => /tamir
21:58:52 | [CMD] BeylerBeyi(7) => /sirket
21:58:52 | H.R.N.(17): o sahnede öldüm ben izlerken
21:58:52 | [CMD] TheFireman(19) => /work
21:58:53 | [CMD] Hic(16) => /pm 15 Deþeriz
21:58:55 | [LOCAL]eren1616(8): alayýmý ?
21:58:55 | [CMD] eren1616(8) => /l alayýmý ?
21:58:55 | Berkay08(9): aynn
21:58:56 | [CMD] Karpuzlupasta(14) => //work
21:58:57 | vevampire(22): 500k atarmýsýnýz
21:58:58 | [CMD] Karpuzlupasta(14) => /work
21:58:58 | [CMD] eren1616(8) => /sirklet
21:59:0 | ASLANBEY(12): nerdesn
21:59:5 | RavlyCoder(23): 310 k var
21:59:6 | [CMD] Konyali42(11) => /tamir
21:59:6 | RavlyCoder(23): :D
21:59:6 | Berkay08(9): a
21:59:8 | H.R.N.(17): motor yaðsýz gurumu olur oðlum .DAS.dA
21:59:12 | [CMD] BeylerBeyi(7) => /work
21:59:12 | vevampire(22): o zaman gerek yok 
21:59:15 | Berkay08(9): longway
21:59:15 | [CMD] Hic(16) => /kemer
21:59:17 | vevampire(22): 500k atan varmý
21:59:18 | [eN]Overlord(15): Harun
21:59:19 | [CMD] TheFireman(19) => /tamir
21:59:21 | [CMD] BeylerBeyi(7) => /sapark
21:59:23 | [eN]Overlord(15): Motorla geziyorsan çek
21:59:27 | RavlyCoder(23) vevampire(22)'a 200000$ para gönderdi
21:59:27 | [CMD] RavlyCoder(23) => /paragonder 22 200000
21:59:27 | [eN]Overlord(15): motorla gezicek insan arýyorum
21:59:31 | [CMD] [eN]Overlord(15) => /modifiye
21:59:34 | Karpuzlupasta(14): fakiriz
21:59:34 | [CMD] H.R.N.(17) => /tele 12 15
21:59:35 | gorkemu24(18) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:59:35 | [LOCAL]vevampire(22): eyw kardeþim
21:59:35 | [CMD] vevampire(22) => /l eyw kardeþim
21:59:36 | Hic(16): Þey vardý
21:59:36 | ASLANBEY(12): la istemeden döndük dolaþtýk ayný yere geldik :D
21:59:37 | [eN]Overlord(15): kirala
21:59:39 | vevampire(22): :D
21:59:41 | Karpuzlupasta(14): pisikletimiz var
21:59:42 | [CMD] H.R.N.(17) => /goto 12
21:59:44 | [CMD] TheFireman(19) => /tamir
21:59:47 | vevampire(22): bende araba var
21:59:48 | [CMD] [eN]Overlord(15) => /tamir
21:59:48 | Hic(16): O dombik ile deðiþiyodu yerleri
21:59:54 | [CMD] Karpuzlupasta(14) => /goreviptal
21:59:55 | eren1616(8) oyundan cIktI (Hata/Crash) (IP: 95.10.191.192)
21:59:56 | ASLANBEY(12): ne oldu lan bana :D
21:59:58 | [CMD] Tuan_Tiniay(13) => /tamir
21:59:59 | RavlyCoder(23): gizli cöp wasted
21:59:59 | ASLANBEY(12): nerdeyým ben D
22:0:3 | RavlyCoder(23): bulana
22:0:4 | vevampire(22): ccöp kayboldu
22:0:4 | [LOCAL]H.R.N.(17): bin aslan
22:0:4 | [CMD] H.R.N.(17) => /l bin aslan
22:0:5 | vevampire(22): :D
22:0:5 | RavlyCoder(23): 100 tl
22:0:9 | [eN]Overlord(15): Harun
22:0:11 | [CMD] TheFireman(19) => /work
22:0:14 | H.R.N.(17): em emm
22:0:15 | Hic(16): "Ama g**ümle araba kullandýrýyonuz" dediydi :d
22:0:15 | [SirketCHT] Karpuzlupasta(14): ! çöpçü ortaðý varmý
22:0:15 | [eN]Overlord(15): artçý ol
22:0:16 | [CMD] ASLANBEY(12) => /meslek
22:0:17 | [SirketCHT] Karpuzlupasta(14): ! çöpçü ortaðý varmý?
22:0:19 | {FFCC00}ASLANBEY(12) {FFFFFF}Kamyoncu olarak spawn oldu.
22:0:21 | RavlyCoder(23): 100 tl burda 20 dolardýr
22:0:22 | RavlyCoder(23): sdfgdfþlk
22:0:23 | [eN]Overlord(15): arkaya geç
22:0:23 | Hic(16): BZK <3 
22:0:27 | [SirketCHT] Karpuzlupasta(14): ! çöpçü ortaðý varmý??
22:0:28 | [CMD] ASLANBEY(12) => /sirket
22:0:29 | [LOCAL][eN]Overlord(15): bin
22:0:29 | [CMD] [eN]Overlord(15) => /l bin
22:0:32 | TIRCI(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
22:0:33 | [CMD] Karpuzlupasta(14) => /meslek
22:0:36 | [LOCAL][eN]Overlord(15): öyle kullanamýyorum
22:0:36 | [CMD] [eN]Overlord(15) => /l öyle kullanamýyorum
22:0:36 | vevampire(22): 300k atan varmý
22:0:42 | RavlyCoder(23): þu copcu kanser
22:0:43 | [CMD] Karpuzlupasta(14) => /meslek
22:0:44 | RavlyCoder(23): edio
22:0:46 | vevampire(22): :D
22:0:47 | Hic(16) Konyali42(11)'a 31$ para gönderdi
22:0:47 | [CMD] Hic(16) => /paragonder 11 31
22:0:49 | Hic(16): Al knk
