0:0:9 | huso608(11): inceliyorum
20:57:10 | [CMD] H.R.N.(22) => /modifiye
20:57:11 | [CMD] gorkemu24(23) => /work
20:57:11 | selimdemote(0): birizin otobüs þöförü olsun
20:57:12 | [CMD] eren1616(26) => /A HAPSE GÝRÝCEN
20:57:12 | [CMD] Strike(TR)(33) => /pm 37 görevdeyim ben
20:57:14 | {FFCC00}SamsunKaan55(16) Otobus Soforu olarak spawn oldu.
20:57:15 | [LOCAL]ClipCamper20(31): eren tekne alcanmý
20:57:15 | [CMD] ClipCamper20(31) => /l eren tekne alcanmý
20:57:16 | [CMD] gorkemu24(23) => /convoyiptal
20:57:16 | [CMD] ordulukral523152(36) => /asiriyuk
20:57:17 | GravLaunch(27): dorse gitti beleþten
20:57:17 | [CMD] BeylerBeyi(10) => /pm 12 konvoyu iiptal etssene
20:57:18 | [CMD] gorkemu24(23) => /convoy
20:57:18 | [LOCAL]ClipCamper20(31): eren tekne alcanmý
20:57:18 | [CMD] ClipCamper20(31) => /l eren tekne alcanmý
20:57:18 | aliturkak(28): beyler bi açýn
20:57:19 | [CMD] eren1616(26) => /a adama bak ya
20:57:19 | [CMD] agareis150(12) => /c alan gitsin
20:57:20 | [CMD] Strike(TR)(33) => /A id 37 ile ilgilencek biri varmý
20:57:20 | [CMD] BeylerBeyi(10) => /pm 12 bende geleyim
20:57:22 | ClipCamper20(31): ordan degil
20:57:22 | [CMD] Dark_Alone_(20) => /galaeri
20:57:22 | [CMD] GravLaunch(27) => /goreviptal
20:57:24 | [CMD] ClipCamper20(31) => /rentcar
20:57:24 | [CMD] Basrety(29) => /kemer
20:57:24 | [CMD] DangerTr07(35) => /modifiye
20:57:24 | Dark_Alone_(20): ismi ne
20:57:25 | [CMD] GravLaunch(27) => /rescue
20:57:25 | [CMD] Hic(17) => /ranklar
20:57:25 | [CMD] ordulukral523152(36) => /asiriyuk
20:57:27 | [CMD] GravLaunch(27) => /meslek
20:57:27 | [CMD] .canskld.(18) => /c sizi bekliyom
20:57:29 | ClipCamper20(31): gel
20:57:29 | [CMD] iYasinBey(13) => /a benim iþim var
20:57:30 | [CMD] DangerTr07(35) => /modifiye
20:57:30 | ClipCamper20(31): bakcaz
20:57:31 | [CMD] GravLaunch(27) => /karakol
20:57:31 | [CMD] Dark_Alone_(20) => /rentcar
20:57:32 | [CMD] ClipCamper20(31) => /rentcar
20:57:32 | [CMD] BOZKURT545(37) => /pm 33 dün 7500 skorum vardý bugün gitmþ tüm skorlarým forumda birçok kiþedede ayný hata var
20:57:33 | [CMD] cCc.Bayram.cCC(8) => /tamir
20:57:33 | [LOCAL]gorkemu24(23): beyler gel ikimiz yapalým
20:57:33 | [CMD] gorkemu24(23) => /l beyler gel ikimiz yapalým
20:57:35 | [LOCAL]gorkemu24(23): beyler gel ikimiz yapalým
20:57:35 | [CMD] gorkemu24(23) => /l beyler gel ikimiz yapalým
20:57:35 | [CMD] SamsunKaan55(16) => /work
20:57:35 | [CMD] GravLaunch(27) => /cezaode
20:57:37 | [CMD] BeylerBeyi(10) => /convoy
20:57:37 | [CMD] aliturkak(28) => /kemer
20:57:37 | [CMD] GravLaunch(27) => /sac
20:57:38 | [CMD] CagatayBro(34) => /work
20:57:39 | [CMD] aliturkak(28) => /tamir
20:57:41 | [CMD] gorkemu24(23) => /work
20:57:41 | [CMD] agareis150(12) => /asiriyuk
20:57:42 | [CMD] GravLaunch(27) => /meslek
20:57:42 | ClipCamper20(31): jetmax al
20:57:42 | [CMD] Hic(17) => /rehberler
20:57:42 | erentt(21) oyuna girdi [IP: 88.255.205.237]
20:57:42 | [CMD] agareis150(12) => /asiriyuk
20:57:43 | [CMD] Berkay08(19) => /asay istek þarkýnýz çalýnýyor.iyi oyunlar dileriz...
20:57:43 | [CMD] BeylerBeyi(10) => /work
20:57:43 | [CMD] ordulukral523152(36) => /asiriyuk/
20:57:44 | [CMD] agareis150(12) => /asiriyuk
20:57:44 | [CMD] BoykoXD(7) => / meslek
20:57:46 | [CMD] BOZKURT545(37) => /pm 33 neden kaynaklý olabilir
20:57:46 | [CMD] DangerTr07(35) => /Sirket
20:57:46 | [CMD] selimdemote(0) => /rentcar
20:57:46 | [CMD] agareis150(12) => /asiriyuk
20:57:47 | [CMD] agareis150(12) => /asiriyuk
20:57:47 | ClipCamper20(31): en hýzlýsý o olmasý lazm
20:57:47 | [CMD] BoykoXD(7) => /meslek
20:57:48 | [CMD] aliturkak(28) => /convoyiptal
20:57:49 | gorkemu24(23): boyko gelecen mý knk
20:57:50 | 
20:57:50 | GravLaunch(27) Mafya olarak spawn oldu.
20:57:50 | Dark_Alone_(20): anam
20:57:50 | [CMD] aliturkak(28) => /work
20:57:51 | [CMD] GravLaunch(27) => /meslek
20:57:52 | gorkemu24(23): boyko gelecen mý knk
20:57:52 | {FFCC00}GravLaunch(27) {FFFFFF}Pilot olarak spawn oldu.
20:57:53 | [CMD] GravLaunch(27) => /meslek
20:57:53 | [CMD] ordulukral523152(36) => /tamir
20:57:54 | [CMD] SamsunKaan55(16) => /work
20:57:55 | GravLaunch(27) Mafya olarak spawn oldu.
20:57:56 | ClipCamper20(31): adminler
20:57:56 | BoykoXD(7): Evet
20:57:57 | GravLaunch(27): Okey hocam
20:57:57 | [CMD] Strike(TR)(33) => /pm 37 bende de oluyordu bi ara 
20:57:58 | GravLaunch(27): anladým
20:57:58 | Dark_Alone_(20): noldu la
20:57:59 | [CMD] eren1616(26) => /atamir
20:57:59 | [CMD] BoykoXD(7) => /meslek
20:57:59 | 
20:58:1 | ClipCamper20(31): arkadas tekne aldýda
20:58:1 | [CMD] BeylerBeyi(10) => /asiriyuk
20:58:1 | {FFCC00}BoykoXD(7) {FFFFFF}Kamyoncu olarak spawn oldu.
20:58:2 | [CMD] Berkay08(19) => /work
20:58:2 | [CMD] cCc.Bayram.cCC(8) => /djler
20:58:3 | [CMD] Strike(TR)(33) => /pm 37 A7 gelince skorunu verirler
20:58:4 | iYasinBey(13): bune ya
20:58:4 | ClipCamper20(31): denize çekebilirmisiniz
20:58:4 | BoykoXD(7): Nerdesib
20:58:4 | selimdemote(0): çek þunu
20:58:5 | BoykoXD(7): Nerdesin
20:58:6 | [CMD] GravLaunch(27) => /kemer
20:58:6 | [CMD] Hic(17) => /gobus
20:58:8 | [CMD] GravLaunch(27) => /work
20:58:8 | [CMD] cCc.Bayram.cCC(8) => /pm 10 552 ne zaman açýlcak
20:58:9 | erentt(21) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:58:9 | gorkemu24(23): docks
20:58:14 | [CMD] agareis150(12) => /convoykontrol
20:58:15 | [CMD] Hic(17) => /kemer
20:58:15 | [CMD] BoykoXD(7) => /goto 23
20:58:16 | iYasinBey(13): bu þarký ne ya
20:58:17 | [CMD] BoykoXD(7) => /goto 23
20:58:17 | [CMD] Hic(17) => /modifiye
20:58:18 | gorkemu24(23): harbour pardn 
20:58:18 | [CMD] BOZKURT545(37) => /pm 33 saðol SAKARYALI büyük admin :D
20:58:19 | [CMD] GravLaunch(27) => /goreviptal
20:58:21 | Dark_Alone_(20): admýnler
20:58:21 | [CMD] GravLaunch(27) => /work
20:58:24 | [CMD] BOZKURT545(37) => /admins
20:58:25 | EmreBagsever(40) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:58:26 | [CMD] Strike(TR)(33) => /pm 37 :D
20:58:26 | eren1616(26): ?
20:58:26 | Berkay08(19): istek yapýcak biþey yok
20:58:30 | ClipCamper20(31): arkadas tekne aldý
20:58:30 | Dark_Alone_(20): tekne aldým
20:58:30 | [CMD] Hic(17) => /modifiye
20:58:31 | [CMD] BoykoXD(7) => /cantazele
20:58:31 | [CMD] SamsunKaan55(16) => /work
20:58:32 | ClipCamper20(31): da
20:58:35 | Enestopaaal(39) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:58:35 | [CMD] agareis150(12) => /c hadi hayýrlý yolculuklar
20:58:36 | Dark_Alone_(20): beni denize ýsýnlarmýsýnýz
20:58:36 | ClipCamper20(31): denize çekebilicekmisniz
20:58:37 | [CMD] Hic(17) => /modifiye
20:58:40 | BOZKURT545(37): A7 kim
20:58:40 | [CMD] Berkay08(19) => /sac
20:58:45 | [CMD] .canskld.(18) => /c soldan geçin lan
20:58:48 | [CMD] BoykoXD(7) => /a enes bana dorse ve týr verse ne
20:58:49 | selimdemote(0): çekin þunu
20:58:50 | [CMD] Hic(17) => /asay /rescue Komutu ile mesleðinin spawn noktalarýna ulaþabilirsin...  
20:58:50 | [CMD] Hic(17) => /asay Sorularýnýz var ise /sorusor komutu ile sorabilirsiniz...  
20:58:51 | [LOCAL]gorkemu24(23): týr indr de para kasalým
20:58:51 | [CMD] gorkemu24(23) => /l týr indr de para kasalým
20:58:53 | [CMD] BeylerBeyi(10) => /pm 8 onu yarým saat geçmemiþ diye sýrayya almadý berkay
20:58:55 | iYasinBey(13): bozkurt allah izin verirse ben yakýnda belki olmah istiyorum
20:58:57 | DangerTr07(35): bayram .s
20:59:0 | [CMD] gorkemu24(23) => /convoyiptal
20:59:0 | [CMD] Strike(TR)(33) => /A gorevdeyim biticek simdi
20:59:0 | iYasinBey(13): adaym Ç:ASDASD
20:59:1 | Dark_Alone_(20): alo
20:59:4 | Dark_Alone_(20): yardým edýcekmýsýnýz
20:59:4 | WinneRektt(21) oyuna girdi [IP: 88.230.30.147]
20:59:5 | [CMD] GravLaunch(27) => /modifiye
20:59:6 | [CMD] cCc.Bayram.cCC(8) => /pm 10 þimdi geçtimi
20:59:8 | agareis150(12): 10 15 dk sonra harbour konvoyu vardýr isteyenler gelebilir
20:59:8 | [CMD] eren1616(26) => /atamir
20:59:9 | [CMD] gorkemu24(23) => /work
20:59:9 | [CMD] Dark_Alone_(20) => /pm 31 ýlla kufur et dýyolar
20:59:10 | BOZKURT545(37): skroum gittide a7 düzeltir dediler
20:59:13 | Hic(17): @20 Sorun nedir ?
20:59:14 | [CMD] Berkay08(19) => /dtemizle
20:59:15 | DangerTr07(35): Arac Res Geliyor
20:59:15 | iYasinBey(13): Arac Res Geliyor... Ýyi Oyunlar...
20:59:16 | DangerTr07(35): Arac Res Geliyor
20:59:16 | [CMD] ClipCamper20(31) => /pm 20 gorurler burayý
20:59:16 | iYasinBey(13): Arac Res Geliyor... Ýyi Oyunlar...
20:59:16 | DangerTr07(35): Arac Res Geliyor
20:59:16 | [CMD] BeylerBeyi(10) => /pm 8 billmiyorum bi sorayým
20:59:17 | [CMD] agareis150(12) => /uyeal 37
20:59:19 | [LOCAL]BoykoXD(7): knk senle biz harbourda yapalým gel
20:59:19 | [CMD] BoykoXD(7) => /l knk senle biz harbourda yapalým gel
20:59:19 | [CMD] iYasinBey(13) => /respawncars
20:59:19 | [CMD] .canskld.(18) => /c eren sýkýþtýrma lann
20:59:20 | [CMD] DangerTr07(35) => /a yasin <3 
20:59:22 | selimdemote(0): çekin þunu
20:59:23 | {FFCC00}WinneRektt(21) Otobus Soforu olarak spawn oldu.
20:59:23 | [CMD] iYasinBey(13) => /a danger tam þansa
20:59:23 | [CMD] Strike(TR)(33) => /asay Vip-Donator-Sirket-Giþe Vb Ürünlerimizden Almak Ýsteyenler www.trucksamp.com Dan Alabilirler 
20:59:24 | [CMD] H.R.N.(22) => /r id 20 denize çekilmek istiyo tekne almýþ
20:59:25 | BOZKURT545(37): inþallah olursunuz
20:59:26 | [CMD] iYasinBey(13) => /a <3
20:59:27 | [CMD] agareis150(12) => /uyeal 37
20:59:27 | [CMD] eren1616(26) => /c sollama yasak
20:59:31 | Dark_Alone_(20): yaw tekne kiraladým denize ýsýnlarmýsýnýz
20:59:31 | [CMD] iYasinBey(13) => /a gönlümüz temiz aga
20:59:32 | [CMD] GravLaunch(27) => /asiriyuk
20:59:33 | [CMD] .canskld.(18) => /c oldu 
20:59:33 | ClipCamper20(31): kiraladýgýmýz
20:59:33 | [CMD] Berkay08(19) => /work
20:59:37 | [CMD] .canskld.(18) => /c töbe töbe
20:59:38 | ClipCamper20(31): araclarý cekebiliyozmu
20:59:40 | Berkay08(19): þarký çalýyomu beyler
20:59:41 | [CMD] H.R.N.(22) => /admins
20:59:41 | [KAMYONCU] Strike(TR), Yeni Sanayi'den SF Hill Farm'e Pano tasidi. Kazanc: 63057$, 2 Skor ve 5 EXP Sure: 251 Saniye
20:59:42 | [LOCAL]BoykoXD(7): ya gel ya kargoya
20:59:42 | [CMD] BoykoXD(7) => /l ya gel ya kargoya
20:59:43 | [CMD] ClipCamper20(31) => /sac
20:59:44 | [CMD] Dark_Alone_(20) => /araba
20:59:45 | Hic(17): @31 Maalesefe.
20:59:46 | eren1616(26): ?
20:59:46 | BOZKURT545(37): þuanki a7 kim adminler skorumu geri istyicm 
20:59:47 | [LOCAL]gorkemu24(23): ok
20:59:47 | [CMD] gorkemu24(23) => /l ok
20:59:49 | BeylerBeyi(10): çaalmýyor þarký bitti
20:59:50 | Dark_Alone_(20): yaw 
20:59:51 | DangerTr07(35): dorse yok ya
20:59:51 | WinneRektt(21): ýþýnlan yanýma.
20:59:51 | [CMD] gorkemu24(23) => /goreviptal
20:59:52 | Hic(17): Maalesef*
20:59:52 | BoykoXD(7): .
20:59:53 | [CMD] aliturkak(28) => /admins
20:59:53 | [CMD] gorkemu24(23) => /meslek
20:59:55 | Dark_Alone_(20): cýldýrmak uzereyým
20:59:55 | CagatayBro(34): admin reisler bir el atarmýsýnýz
20:59:55 | eren1616(26): malesef
20:59:55 | 
20:59:57 | GravLaunch(27): @37 /yonetim
20:59:57 | selimdemote(0): lan
20:59:58 | CagatayBro(34): arkadaþ tekne almýþ
20:59:59 | [CMD] agareis150(12) => /pm 20 seriye alsana beni
21:0:0 | [CMD] Berkay08(19) => /asay istek þarkýnýz çalýnýyor.iyi oyunlar dileriz...
21:0:0 | DangerTr07(35): t
21:0:1 | [CMD] H.R.N.(22) => /goto 21
21:0:2 | CagatayBro(34): denize cekermisiniz
21:0:3 | [CMD] agareis150(12) => /pm 20 seriye alsana beni
21:0:3 | [CMD] BoykoXD(7) => /meslek
21:0:4 | WinneRektt(21): eren1616 ýþýnlan dedim.
21:0:5 | 
21:0:6 | [CMD] eren1616(26) => /yonetim
21:0:6 | [CMD] DangerTr07(35) => /Atamir
21:0:6 | [CMD] BOZKURT545(37) => /yonetim
21:0:8 | Umit_Father(30) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:0:9 | [CMD] H.R.N.(22) => /akilitle
21:0:10 | [CMD] iYasinBey(13) => /tamir
21:0:11 | WinneRektt(21): konusacaklarýmýz var.
21:0:12 | KorkusuzKorkak(30) oyuna girdi [IP: 94.120.48.150]
21:0:13 | [CMD] CagatayBro(34) => /work
21:0:15 | BoykoXD(7): .
21:0:15 | selimdemote(0): çekin þunu
21:0:16 | [CMD] Strike(TR)(33) => /fly
21:0:18 | [CMD] BoykoXD(7) => /kemer
21:0:20 | [CMD] BoykoXD(7) => /work
21:0:20 | Dark_Alone_(20): suan zor duruyorum 
21:0:21 | ClipCamper20(31): Adminler Bakýcakmýsýnýz
21:0:22 | 
21:0:24 | [CMD] agareis150(12) => /pm 20 seriye alsana beni
21:0:26 | [CMD] BeylerBeyi(10) => /d  berkay o isteðe almadýðýmýz þarkýnýn yarým saat geçtimi
21:0:26 | [LOCAL]gorkemu24(23): 47 görev yapmam lazým
21:0:26 | [CMD] gorkemu24(23) => /l 47 görev yapmam lazým
21:0:28 | [CMD] gorkemu24(23) => /work
21:0:28 | [LOCAL]BoykoXD(7): seri yapak
21:0:28 | [CMD] BoykoXD(7) => /l seri yapak
21:0:28 | [CMD] ClipCamper20(31) => /pm 20 konu açýcam bak foruma
21:0:30 | Strike(TR)(33): evet
21:0:31 | selimdemote(0): yasin el atbi ya
21:0:32 | [CMD] ClipCamper20(31) => /pm 20 sinir oldum ben bunlara
21:0:33 | [CMD] eren1616(26) => /uyar 18 Giþeden Bedava Geçme
21:0:34 | .canskld.(18) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
21:0:34 | [CMD] gorkemu24(23) => /goreviptal
21:0:35 | [CMD] Berkay08(19) => /d geçti sayýlýr
21:0:35 | [CMD] agareis150(12) => /sirket
21:0:36 | aliturkak(28): eren durma la yol ortasý
21:0:37 | [CMD] gorkemu24(23) => /work
21:0:37 | {FFCC00}KorkusuzKorkak(30) {FFFFFF}Pilot olarak spawn oldu.
21:0:38 | GravLaunch(27): A:SDWQ:WQ
21:0:39 | [CMD] BeylerBeyi(10) => /pm 8 yarým saat geçmþ
21:0:39 | [CMD] gorkemu24(23) => /goreviptal
21:0:40 | [CMD] ClipCamper20(31) => /tamir
21:0:40 | [CMD] gorkemu24(23) => /work
21:0:41 | [CMD] BeylerBeyi(10) => /d tm
21:0:41 | [LOCAL]BoykoXD(7): 12k olup çýkýcam
21:0:41 | [CMD] BoykoXD(7) => /l 12k olup çýkýcam
21:0:41 | agareis150(12): strike
21:0:43 | [CMD] gorkemu24(23) => /goreviptal
21:0:43 | Strike(TR)(33): evet
21:0:44 | ClipCamper20(31): tekne aldý
21:0:44 | [CMD] gorkemu24(23) => /work
21:0:46 | [CMD] gorkemu24(23) => /goreviptal
21:0:47 | WinneRektt(21): ereen
21:0:47 | [CMD] gorkemu24(23) => /work
21:0:48 | [CMD] Berkay08(19) => /d alalýmmý sýraya 
21:0:48 | agareis150(12): seriye alsana knk beni
21:0:48 | ClipCamper20(31): denize çekebilirmisiniz.
21:0:49 | [CMD] gorkemu24(23) => /goreviptal
21:0:50 | [CMD] gorkemu24(23) => /work
21:0:51 | eren1616(26): ?
21:0:52 | [CMD] gorkemu24(23) => /goreviptal
21:0:53 | BOZKURT545(37): a7 ler nezmn gelir adminler
21:0:53 | [CMD] Strike(TR)(33) => /uyeal 12
21:0:53 | [CMD] gorkemu24(23) => /work
21:0:55 | WinneRektt(21): gel bi yanýma
21:0:55 | [CMD] BeylerBeyi(10) => /d al
21:0:56 | [CMD] FirstMoonTR(24) => /tamir
21:0:56 | [CMD] gorkemu24(23) => /goreviptal
21:0:57 | [CMD] gorkemu24(23) => /work
21:0:58 | [CMD] oktayacar(11) => /sac
21:0:59 | BrownCute(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:0:59 | [CMD] gorkemu24(23) => /goreviptal
21:0:59 | SamsunKaan55(16): sa türkler
21:1:0 | [CMD] gorkemu24(23) => /work
21:1:2 | WinneRektt(21): as
21:1:2 | [LOCAL]BoykoXD(7): bn yapam knk
21:1:2 | [CMD] BoykoXD(7) => /l bn yapam knk
21:1:2 | [CMD] DangerTr07(35) => /Work
21:1:2 | [CMD] gorkemu24(23) => /goreviptal
21:1:2 | Dark_Alone_(20): as
21:1:3 | [CMD] gorkemu24(23) => /work
21:1:3 | [CMD] Berkay08(19) => /d 552 demi
21:1:4 | selimdemote(0): la teksenin içinde galdým
21:1:4 | [CMD] Hic(17) => /tamir
21:1:5 | eren1616(26): malesef
21:1:5 | [CMD] BeylerBeyi(10) => /as
21:1:5 | Hic(17): Aleyküm Selam Hoþgeldin. 
21:1:5 | [CMD] Basrety(29) => /as
21:1:6 | [CMD] Berkay08(19) => /work
21:1:6 | [CMD] KorkusuzKorkak(30) => /araba
21:1:8 | Hic(17):  /sa /as
21:1:8 | [LOCAL]gorkemu24(23): 1 sn dur dur
21:1:8 | [CMD] gorkemu24(23) => /l 1 sn dur dur
21:1:8 | [CMD] FirstMoonTR(24) => /tamir
21:1:9 | Dark_Alone_(20): yaw 
21:1:10 | BOZKURT545(37): a7 ler nezmn gelir adminler
21:1:10 | [LOCAL]gorkemu24(23): gel arabaya
21:1:10 | [CMD] gorkemu24(23) => /l gel arabaya
21:1:11 | Dark_Alone_(20): cekýcekmýsýnýz 
21:1:11 | [CMD] WinneRektt(21) => /sa
21:1:12 | [CMD] Hic(17) => /tamir
21:1:13 | [CMD] BoykoXD(7) => /kemer
21:1:14 | [CMD] gorkemu24(23) => /goreviptal
21:1:14 | GravLaunch(27): Moskova evimi almýþ yaw
21:1:17 | GravLaunch(27): abi
21:1:17 | [SirketCHT] agareis150(12): ! strike ne zmn rütbem yükselir 
21:1:17 | [CMD] gorkemu24(23) => /work
21:1:18 | [CMD] KorkusuzKorkak(30) => /work
21:1:18 | WinneRektt(21): bu ne la
21:1:19 | [CMD] Berkay08(19) => /as
21:1:20 | [CMD] BeylerBeyi(10) => /pm 8 o þarkýnn id si 522 ydi ddeðilmi,
21:1:21 | SamsunKaan55(16): arac bozuldu
21:1:21 | [CMD] gorkemu24(23) => /goreviptal
21:1:23 | [CMD] gorkemu24(23) => /work
21:1:23 | [SirketCHT] agareis150(12): ! kaç katkýda
21:1:24 | [CMD] BOZKURT545(37) => /araba
21:1:24 | GravLaunch(27): bi ban yedik
21:1:24 | [CMD] gorkemu24(23) => /goreviptal
21:1:25 | eren1616(26) oyundan cIktI (Hata/Crash) (IP: 85.106.122.245)
21:1:25 | [CMD] gorkemu24(23) => /work
21:1:26 | [LOCAL]WinneRektt(21): adminmisin
21:1:26 | [CMD] WinneRektt(21) => /l adminmisin
21:1:26 | [CMD] Berkay08(19) => /dtemizle
21:1:27 | [SirketCHT] Strike(TR)(33): ! bilmiyorum
21:1:27 | [CMD] gorkemu24(23) => /goreviptal
21:1:28 | [CMD] gorkemu24(23) => /work
21:1:28 | [CMD] cCc.Bayram.cCC(8) => /pm 10552
21:1:29 | BrownCute(9) oyuna girdi [IP: 85.107.209.97]
21:1:29 | GravLaunch(27): bütün herþey gitmiþ
21:1:30 | [LOCAL]H.R.N.(22): sorunmu var 
21:1:30 | [CMD] H.R.N.(22) => /l sorunmu var 
21:1:31 | [CMD] gorkemu24(23) => /goreviptal
21:1:31 | [CMD] gorkemu24(23) => /work
21:1:32 | BOZKURT545(37): a7 ler nezmn gelir adminler
21:1:33 | Dark_Alone_(20): ALOOOOO STRÝKEEEEEEEEEEEEEee
21:1:33 | [CMD] gorkemu24(23) => /goreviptal
21:1:34 | [CMD] gorkemu24(23) => /work
21:1:35 | [CMD] SamsunKaan55(16) => /goreviptal
21:1:35 | [ANTIHACK] Þüpheli Basrety(29) => Airbreak-hack
21:1:35 | Strike(TR)(33): nee
21:1:36 | [LOCAL]WinneRektt(21): gel gel
21:1:36 | [CMD] WinneRektt(21) => /l gel gel
21:1:36 | [CMD] cCc.Bayram.cCC(8) => /pm 10 552
21:1:36 | selimdemote(0): adminler bi el atýn
21:1:38 | [CMD] gorkemu24(23) => /goreviptal
21:1:38 | Dark_Alone_(20): yaw 
21:1:38 | [CMD] gorkemu24(23) => /work
21:1:39 | Dark_Alone_(20): denýze 
21:1:39 | [CMD] Strike(TR)(33) => /uyar 20 Caps Kapat
21:1:40 | [CMD] BeylerBeyi(10) => /d aaynenn 5222
21:1:41 | Dark_Alone_(20): bený
21:1:42 | [CMD] BeylerBeyi(10) => /d aaynenn 522
21:1:43 | [CMD] gorkemu24(23) => /goreviptal
21:1:43 | selimdemote(0): oh
21:1:43 | 
21:1:44 | [LOCAL]WinneRektt(21): þu eren bi gelsin adminsen
21:1:44 | [CMD] WinneRektt(21) => /l þu eren bi gelsin adminsen
21:1:45 | [CMD] gorkemu24(23) => /work
21:1:45 | Hic(17): caps+harf uzatma
21:1:46 | [CMD] Berkay08(19) => /d tm
21:1:47 | Strike(TR)(33): denize düþeni cekemem
21:1:48 | [CMD] SamsunKaan55(16) => /kill
21:1:49 | Strike(TR)(33): yasak
21:1:49 | [LOCAL]WinneRektt(21): sen beni tanýmýsýndýr
21:1:49 | [CMD] WinneRektt(21) => /l sen beni tanýmýsýndýr
21:1:50 | [CMD] H.R.N.(22) => /admins
21:1:50 | [SirketCHT] agareis150(12): ! tm ben 3m kasýyýmda
21:1:50 | [LOCAL]WinneRektt(21): sen beni tanýmýsýndýr
21:1:50 | [CMD] WinneRektt(21) => /l sen beni tanýmýsýndýr
21:1:51 | BrownCute(9) Mafya olarak spawn oldu.
21:1:52 | [CMD] DangerTr07(35) => /sirket
21:1:52 | [LOCAL]gorkemu24(23): gelmiyor ne yapyým 
21:1:52 | [CMD] gorkemu24(23) => /l gelmiyor ne yapyým 
21:1:52 | ClipCamper20(31): denize düþmedi
21:1:52 | BOZKURT545(37): a7 ler nezmn gelir adminler
21:1:53 | Dark_Alone_(20): denýze dusmedým
21:1:53 | [CMD] BeylerBeyi(10) => /pm 8 tm sýraya aldým :)
21:1:54 | [CMD] SamsunKaan55(16) => /meslek
21:1:54 | CagatayBro(34): adam tekne aldý
21:1:56 | ClipCamper20(31): Denize Tekneyi
21:1:57 | CagatayBro(34): denize çek diyor
21:1:57 | [CMD] Strike(TR)(33) => /goto 20
21:1:58 | ClipCamper20(31): Iþýnlýcaksýnýz
21:1:58 | [CMD] GravLaunch(27) => /work
21:2:1 | [CMD] Hic(17) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <sebep> þeklinde gönderebilirsiniz... 
21:2:1 | CagatayBro(34): kiraladý yani
21:2:2 | selimdemote(0): hadi gençler eðlence baþlýcak
21:2:2 | [CMD] Hic(17) => /asay Sunucuda istediðiniz þarkýnýn çalmasýný istiyorsan /isteksarki <id> þeklinde DJ'Lere iletebilirsin... 
21:2:2 | [CMD] cCc.Bayram.cCC(8) => /convoy
21:2:2 | [CMD] GravLaunch(27) => /work
21:2:4 | [CMD] cCc.Bayram.cCC(8) => /convoy
21:2:4 | [CMD] BrownCute(9) => /kemer
21:2:5 | [CMD] aliturkak(28) => /tamir
21:2:6 | [CMD] GravLaunch(27) => /work
21:2:7 | Dark_Alone_(20): bh 
21:2:8 | prenss(18) oyuna girdi [IP: 85.106.99.249]
21:2:10 | [CMD] BrownCute(9) => /work
21:2:10 | [CMD] GravLaunch(27) => /work
21:2:10 | [CMD] Hic(17) => /sac
21:2:12 | [CMD] Strike(TR)(33) => /fly
21:2:13 | [LOCAL]H.R.N.(22): oyundamý
21:2:13 | [CMD] H.R.N.(22) => /l oyundamý
21:2:14 | [CMD] GravLaunch(27) => /work
21:2:17 | eren1616(26) oyuna girdi [IP: 85.106.122.245]
21:2:18 | [CMD] GravLaunch(27) => /work
21:2:22 | prenss(18) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
21:2:22 | [CMD] GravLaunch(27) => /work
21:2:23 | ClipCamper20(31): yapýyolar eren bkle
21:2:27 | [CMD] GravLaunch(27) => /work
21:2:29 | 
21:2:31 | burakcan3436(18) oyuna girdi [IP: 88.247.112.178]
21:2:32 | [CMD] GravLaunch(27) => /work
21:2:33 | WinneRektt(21): eren1616. !
21:2:35 | [CMD] CagatayBro(34) => /work
21:2:36 | eren1616(26) Itfaiyeci olarak spawn oldu.
21:2:37 | [CMD] DangerTr07(35) => /uyeal 11 
21:2:37 | [CMD] SamsunKaan55(16) => /icerigir
21:2:38 | [CMD] Berkay08(19) => /work
21:2:39 | [CMD] Basrety(29) => /kemer
21:2:39 | BOZKURT545(37) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:2:40 | KorkusuzKorkak(30) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:2:41 | [CMD] eren1616(26) => /admgiris
21:2:41 | [CMD] GravLaunch(27) => /work
21:2:41 | [CMD] Hic(17) => /asay Yeni gelen oyuncularýmýz /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler... 
21:2:41 | [CMD] agareis150(12) => /sirket
21:2:43 | eren1616(26): ?
21:2:44 | [SirketCHT] DangerTr07(35): ! oktay hg 
21:2:45 | [LOCAL]Basrety(29): atla
21:2:45 | [CMD] Basrety(29) => /l atla
21:2:46 | [CMD] GravLaunch(27) => /work
21:2:46 | [CMD] agareis150(12) => /sirket
21:2:47 | WinneRektt(21): gel dedim la
