0:0:1 | Axefi(21): :D
20:29:8 | [CMD] BULDOZER(06)(26) => /tamir
20:29:9 | [CMD] xqHost(19) => /tamir
20:29:9 | [CMD] Konyali42(33) => /d ilk istegi 11
20:29:12 | BoykoXD(14): Ýyi günler
20:29:12 | [CMD] EvoturK(20) => /atamir
20:29:14 | [CMD] Konyali42(33) => /d ve sadece 11 var
20:29:14 | EvoturK(20): püü
20:29:15 | Creistyle(18): sezzer
20:29:20 | sezzer(24): he
20:29:21 | [CMD] swisskobay301(16) => /work
20:29:24 | BULDOZER(06)(26): özel söför olunur yola göre para alýnýr
20:29:25 | [CMD] BoykoXD(14) => /cantazele
20:29:25 | Muya(0): evo
20:29:28 | BeylerBeyi(25): axefi istek attýðýn þarký çalmadan birdaha istek atamazsýn
20:29:29 | BULDOZER(06)(26): özel söför olunur yola göre para alýnýr
20:29:30 | [CMD] huseyin(13) => /isteksarki 1714
20:29:32 | [CMD] BeylerBeyi(25) => /asay Ýstek Þarkýnýz Sýraya Alýnmýþtýr. Ýyi Oyunlar Dileriz...
20:29:33 | Muya(0): huseyin seni ahýra atmak istomus
20:29:33 | [CMD] H.R.N.(22) => /sac
20:29:33 | EvoturK(20): evet
20:29:34 | [eN]Overlord(8): buldo
20:29:35 | [CMD] Konyali42(33) => /work
20:29:37 | [CMD] BeylerBeyi(25) => /d 1714hadise
20:29:37 | [eN]Overlord(8): þoförüm ol
20:29:38 | [CMD] huseyin(13) => /pm 25 hadise yaz cýkar 
20:29:38 | BULDOZER(06)(26): efm
20:29:40 | BULDOZER(06)(26): tm
20:29:41 | [CMD] huseyin(13) => /pm 25 :D 
20:29:42 | [CMD] BeylerBeyi(25) => /d :D
20:29:43 | BULDOZER(06)(26): nerdesin
20:29:46 | Creistyle(18): Allah görüyor kardeþim.
20:29:46 | [CMD] Konyali42(33) => /d sifir tolerans?
20:29:47 | [eN]Overlord(8): lv
20:29:50 | BoykoXD(14): Sezzer birdahakine dikkat ol 
20:29:50 | [CMD] BeylerBeyi(25) => /d hayýr
20:29:52 | [CMD] [eN]Overlord(8) => /rescue
20:29:53 | [LOCAL]Creistyle(18): neyse bro bidakine iyi ss alýrým
20:29:53 | [CMD] Creistyle(18) => /l neyse bro bidakine iyi ss alýrým
20:29:54 | [CMD] BeylerBeyi(25) => /d ankarali hadise
20:29:55 | [CMD] huseyin(13) => /d 1714 ü EvoturK'e Armaðan ediyorum
20:29:55 | Muya(0): boyko
20:29:55 | BULDOZER(06)(26): lv de nerde
20:29:55 | [CMD] Axefi(12) => /isteksarki 99
20:29:56 | xqHost(19): evo skorun emek mi
20:29:57 | [eN]Overlord(8): lv polis spawný
20:29:59 | Muya(0): basýnýza bela acdým glba :D
20:29:59 | [CMD] BeylerBeyi(25) => /d tamamdýr
20:29:59 | BoykoXD(14): Evet
20:30:0 | EvoturK(20): alýn teri
20:30:0 | BULDOZER(06)(26): tm
20:30:2 | [CMD] [eN]Overlord(8) => /araba
20:30:3 | [CMD] BeylerBeyi(25) => /asay Ýstek Þarkýnýzý Sýraya Alýnmamýþtýr...
20:30:3 | [CMD] Konyali42(33) => /asay Istek Sarkinizi Siraya Alinmamistir...     
20:30:4 | xqHost(19): xd
20:30:6 | EvoturK(20): ne belasý açtýn
20:30:8 | BoykoXD(14): BNe açtýn
20:30:10 | [LOCAL]iYasinBey(7): polis adamlarý gördü noluyor dedi kaçtý mk
20:30:10 | [CMD] iYasinBey(7) => /l polis adamlarý gördü noluyor dedi kaçtý mk
20:30:12 | Muya(0): herkez kafalara shamal atýyo :D
20:30:15 | [CMD] BeylerBeyi(25) => /d 1714 bende
20:30:18 | [CMD] Konyali42(33) => /d tmm
20:30:19 | BaRan_Reis(6) oyuna girdi [IP: 85.99.20.154]
20:30:22 | [CMD] BeylerBeyi(25) => /d istekler ne
20:30:24 | Creistyle(18): evo skordan bi parça yollayýver :D
20:30:27 | [CMD] bozkurt331(17) => /komutlar
20:30:27 | [CMD] huseyin(13) => /cantazele
20:30:27 | xqHost(19): köz getirir misin krdsm
20:30:28 | 
20:30:29 | [CMD] Gezegen(9) => /tamir
20:30:30 | sezzer(24): AS:DA:SdA:SD
20:30:30 | EvoturK(20): hemen
20:30:30 | [LOCAL]BoykoXD(14): Bro eðer yaparsa beni çagýr ss i al 
20:30:30 | [CMD] BoykoXD(14) => /l Bro eðer yaparsa beni çagýr ss i al 
20:30:31 | {FFCC00}BaRan_Reis(6) {FFFFFF}Kamyoncu olarak spawn oldu.
20:30:32 | [CMD] Konyali42(33) => /d 11.1714
20:30:35 | [CMD] BaRan_Reis(6) => /sa
20:30:36 | [LOCAL]Creistyle(18): tmm
20:30:36 | [CMD] Creistyle(18) => /l tmm
20:30:37 | [CMD] EvoturK(20) => /as
20:30:37 | [CMD] huseyin(13) => /as
20:30:38 | [CMD] BeylerBeyi(25) => /d tm
20:30:39 | [CMD] Axefi(12) => /as
20:30:39 | [CMD] huseyin(13) => /dtemizle 
20:30:39 | [CMD] huseyin(13) => /asay2 s  
20:30:39 | [CMD] BeylerBeyi(25) => /as
20:30:39 | [CMD] xqHost(19) => /as
20:30:39 | [CMD] H.R.N.(22) => /as
20:30:39 | Konyali42(33): axefi 1 istek hakkin var
20:30:42 | [CMD] iYasinBey(7) => /a kapýnýn önünde kavga vardý camdan bakam dedim polis adamlarý gördü noluyor dedi kaçtý mk
20:30:44 | [LOCAL]Creistyle(18): k.g iyi oyunlar.
20:30:44 | [CMD] Creistyle(18) => /l k.g iyi oyunlar.
20:30:45 | [CMD] Konyali42(33) => /asay Istek Sarkiniz Çaliniyor. Iyi Oyunlar Dileriz...     
20:30:45 | [LOCAL]BoykoXD(14): foruma aç sikayet bakarlar
20:30:45 | [CMD] BoykoXD(14) => /l foruma aç sikayet bakarlar
20:30:47 | BaRan_Reis(6): beyler bende aðýr ilkokulluyum vip :D
20:30:48 | [CMD] Creistyle(18) => /rescue
20:30:48 | [LOCAL]huseyin(13): bum
20:30:48 | [CMD] huseyin(13) => /l bum
20:30:48 | [LOCAL]BoykoXD(14): eyw sanada
20:30:48 | [CMD] BoykoXD(14) => /l eyw sanada
20:30:49 | {FFCC00}Muya(0) {FFFFFF}Pilot olarak spawn oldu.
20:30:49 | [CMD] Konyali42(33) => /work
20:30:49 | Muya(0): la minigun kullanma
20:30:50 | Axefi(12): aa dj isyan etti :D
20:30:51 | [CMD] Muya(0) => /rescue
20:30:53 | [LOCAL]Creistyle(18): bidakine atarým
20:30:53 | [CMD] Creistyle(18) => /l bidakine atarým
20:30:54 | [CMD] EvoturK(20) => /atamir
20:30:56 | [CMD] Creistyle(18) => /rescue
20:30:57 | BaRan_Reis(6): beyler bende aðýr ilkokulluyum vip :D verirmisiniz
20:30:57 | EvoturK(20): dün outlast2 oynuyom
20:30:58 | Konyali42(33): hayir isyan degil kural bu
20:31:0 | [CMD] Kraply(10) => /tamir
20:31:0 | [LOCAL]BoykoXD(14): .d
20:31:0 | [CMD] BoykoXD(14) => /l .d
20:31:2 | H.R.N.(22): yarým saate bir istek hakkýn var
20:31:2 | BaRan_Reis(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:31:4 | [LOCAL]BoykoXD(14): ok
20:31:4 | [CMD] BoykoXD(14) => /l ok
20:31:4 | EvoturK(20): ateþ yakmýþlar alevi dinmiþ kýzarýklýðý kalmýþ
20:31:7 | [CMD] Gezegen(9) => /tamir
20:31:8 | BeylerBeyi(25): Axefi istek attýýn þarký çalmadan birdaha istek atamazsýn
20:31:9 | Axefi(12): of onadamý kural :(
20:31:9 | [CMD] BoykoXD(14) => /rescue
20:31:13 | [CMD] BoykoXD(14) => /rescue
20:31:14 | Axefi(12): peki :)
20:31:16 | EvoturK(20): köz getirin köz diyodum bi abla týrpaný bir yerlerime soktu
20:31:16 | [CMD] Gezegen(9) => /rescue
20:31:19 | [CMD] Gezegen(9) => /meslek
20:31:19 | [CMD] emirhanertem(23) => /isteksarki 404
20:31:21 | [CMD] BeylerBeyi(25) => /d yarým saat deðil
20:31:21 | {FFCC00}Gezegen(9) {FFFFFF}Kamyoncu olarak spawn oldu.
20:31:22 | [CMD] Konyali42(33) => /asay Istek Sarkiniz Siraya Alinmistir. Iyi Oyunlar Dileriz...    
20:31:22 | [CMD] BoykoXD(14) => /kemer
20:31:22 | [CMD] Gezegen(9) => /meslek
20:31:26 | [CMD] BeylerBeyi(25) => /d yarým saat ayný þarký için geçerli
20:31:26 | {FFCC00}Gezegen(9) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
20:31:28 | [CMD] BoykoXD(14) => /work
20:31:28 | [CMD] Gezegen(9) => /rescue
20:31:30 | H.R.N.(22): evo bana bi güllü kavunlu
20:31:31 | sezzer(24): lan
20:31:32 | Kraply(10): eyw krsm
20:31:34 | Kraply(10): xd
20:31:36 | [SirketCHT] Creistyle(18): ! beylerbeyi
20:31:36 | [CMD] Gezegen(9) => /araba
20:31:38 | Kraply(10): sezer kusura bakma knk xd
20:31:39 | [CMD] Konyali42(33) => /d 1714- 404
20:31:40 | sezzer(24): bidahakine nrg le yapcam
20:31:40 | [CMD] BeylerBeyi(25) => /d istek attýðý þarký çaldýðý zaman birdaha istek atabilir
20:31:42 | EvoturK(20): uçak getir muya uçak
20:31:42 | [CMD] Konyali42(33) => /work
20:31:42 | Kraply(10): 2dk kacmýsýn
20:31:42 | [SirketCHT] BeylerBeyi(25): ! efendim
20:31:43 | [CMD] [eN]Overlord(8) => /meslek
20:31:43 | [CMD] H.R.N.(22) => /goto 20
20:31:44 | Kraply(10): xd
20:31:44 | sezzer(24): sorun yok knk
20:31:45 | [CMD] BeylerBeyi(25) => /d tm 1714 bende
20:31:47 | [SirketCHT] Creistyle(18): ! helini kullanýyorum iznin var mý?
20:31:50 | Muya(0): cay doldurdum
20:31:50 | [CMD] bozkurt331(17) => /rentacar
20:31:51 | {FFCC00}[eN]Overlord(8) {FFFFFF}Pilot olarak spawn oldu.
20:31:52 | sezzer(24): bilerk kaçtým
20:31:52 | Kraply(10): sezer knk
20:31:52 | [SirketCHT] BeylerBeyi(25): ! tabi kullan
20:31:52 | [CMD] Konyali42(33) => /d tmm dedik la sakin :d
20:31:53 | Muya(0): evo seni ahýra atarýmn
20:31:54 | EvoturK(20): uçak getir
20:31:54 | sezzer(24): he
20:31:54 | {FFCC00}xqHost(19) {FFFFFF}Pilot olarak spawn oldu.
20:31:55 | [CMD] swisskobay301(16) => /basarýmlar
20:31:55 | [SirketCHT] Creistyle(18): ! saol
20:31:56 | [CMD] BeylerBeyi(25) => /d :D
20:31:56 | [CMD] xqHost(19) => /gobus
20:31:57 | Kraply(10): salý günü sabahlýyoz demi
20:31:57 | [CMD] swisskobay301(16) => /basarimlar
20:31:58 | Muya(0): seni banlarým evo :D
20:32:0 | [CMD] H.R.N.(22) => /araba
20:32:2 | EvoturK(20): boþ yapma uçak getir
20:32:2 | [CMD] huseyin(13) => /dtemizle 
20:32:3 | [CMD] huseyin(13) => /asay2 s  
20:32:3 | sezzer(24): fark etmez
20:32:3 | xqHost(19): ula harbi fiþþeqsin evo
20:32:3 | emirhanertem(23): yasin grafik mi yetistirmeye calýsýyor oyun görevlileri
20:32:4 | [SirketCHT] BoykoXD(14): ! kullan knk o ztn bizim sirketin
20:32:4 | [CMD] BeylerBeyi(25) => /d yok hani yanlýþ söyleme onlara sonra þikayet ediyorlar
20:32:5 | emirhanertem(23): yasin grafik mi yetistirmeye calýsýyor oyun görevlileri
20:32:6 | BULDOZER(06)(26): overlord
20:32:7 | [CMD] xqHost(19) => /gobus
20:32:7 | EvoturK(20): tabi fiþþeðim
20:32:8 | Kraply(10): tm
20:32:8 | sezzer(24): olm bugün salý zaten
20:32:10 | BULDOZER(06)(26): overlord
20:32:12 | BULDOZER(06)(26): overlord
20:32:12 | [SirketCHT] BeylerBeyi(25): ! aynen istediðin gibi kullan
20:32:12 | Kraply(10): haf. salý
20:32:12 | [CMD] swisskobay301(16) => /meslek
20:32:15 | [CMD] H.R.N.(22) => /araba
20:32:15 | Kraply(10): tatil ya olm
20:32:16 | [CMD] xqHost(19) => /rescue
20:32:17 | sezzer(24): olur
20:32:18 | [CMD] xqHost(19) => /meslek
20:32:20 | swisskobay301(16) Itfaiyeci olarak spawn oldu.
20:32:20 | {FFCC00}xqHost(19) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
20:32:21 | BoykoXD(14): Ben kaçar
20:32:24 | emirhanertem(23): bb
20:32:26 | [CMD] BoykoXD(14) => /adminol
20:32:27 | Kraply(10): ßß
20:32:28 | [CMD] Konyali42(33) => /work
20:32:29 | BeylerBeyi(25): bb
20:32:29 | [CMD] BULDOZER(06)(26) => /pm 8 geldim yoksun lvde
20:32:30 | [SirketCHT] Creistyle(18): ! hýý tmm beylerbeyi ne ait dedide
20:32:31 | BoykoXD(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:32:31 | [CMD] BULDOZER(06)(26) => /tamir
20:32:35 | [CMD] swisskobay301(16) => /kemer
20:32:37 | [CMD] swisskobay301(16) => /modifiye
20:32:40 | Muya(0): la ev aralarýna nasý ldüsem :D
20:32:41 | [SirketCHT] BeylerBeyi(25): ! aynen benimde istediðin gibi kullan
20:32:43 | [CMD] huseyin(13) => /asay2 ~g~~h~~h~cok tatlisin guzelsin sekerci mi baban senin 
20:32:44 | Axefi(12): ölümü özledim anne
20:32:45 | [CMD] huseyin(13) => /asay2 ~g~~h~~h~cok tatlisin guzelsin sekerci mi baban senin
20:32:46 | [CMD] testere151(15) => /atanir
20:32:48 | [CMD] swisskobay301(16) => /work
20:32:48 | [SirketCHT] Creistyle(18): ! tmm tþk.
20:32:49 | [OTOBUSCU] emirhanertem, Las Venturas Otogar'den Los Santos Otogar'e Yolcu tasidi. Kazanc: 10574$ ve 2 Skor Sure: 385 Saniye
20:32:50 | [CMD] Konyali42(33) => /work
20:32:50 | [CMD] testere151(15) => /atamir
20:32:51 | [CMD] Konyali42(33) => /work
20:32:51 | xqHost(19): san fierro çevik duraðýna hangi amdin sultan indirdi
20:32:52 | [CMD] swisskobay301(16) => /stats
20:32:53 | [CMD] EvoturK(20) => /asay tabi tabi
20:32:57 | [LOCAL]huseyin(13): .d
20:32:57 | [CMD] huseyin(13) => /l .d
20:32:59 | Konyali42(33): evet evet
20:32:59 | [CMD] emirhanertem(23) => /work
20:33:8 | sezzer(24): avo
20:33:10 | Muya(0): byler dün ben evoyu banladým :D
20:33:11 | EvoturK(20): evet
20:33:12 | H.R.N.(22): konya
20:33:14 | Muya(0): yazsam yalan olur :D
20:33:15 | sezzer(24): yi beni
20:33:17 | [CMD] Konyali42(33) => /d aga pizzaci sf de rahatladi kimse kalmadi :D
20:33:18 | huseyin H.R.N.'i öldürdü. Oldurme Sekli: 51
20:33:19 | [CMD] Konyali42(33) => /work
20:33:21 | EvoturK(20): yedim geldi mi
20:33:21 | Muya(0): evo
20:33:23 | H.R.N.(22) Mafya olarak spawn oldu.
20:33:24 | emirhanertem(23): hani skor fln yok mu bu aksam yaw donatýn masalarý
20:33:24 | [LOCAL]huseyin(13): bi heli daha .d
20:33:24 | [CMD] huseyin(13) => /l bi heli daha .d
20:33:25 | sezzer(24): gelmedi 
20:33:25 | EvoturK(20): evet
20:33:26 | Muya(0): sen avo deilsin
20:33:28 | Muya(0): evosun
20:33:29 | emirhanertem(23): hani skor fln yok mu bu aksam yaw donatýn masalarý
20:33:29 | EvoturK(20): bi daha olmasýn
20:33:30 | H.R.N.(22): kim sýktý la bana 
20:33:30 | xqHost(19): 500kya köz getirilir hýzlý
20:33:33 | BULDOZER(06)(26): evo abi
20:33:33 | [CMD] AvoturK(20) => /changenick 20 AvoturK
20:33:34 | [CMD] huseyin(13) => /r :D
20:33:36 | AvoturK(20): .
20:33:37 | sezzer(24): ashdgjaghd
20:33:39 | [CMD] H.R.N.(22) => /goto 22
20:33:39 | xqHost(19): püü
20:33:40 | Konyali42(33): avo
20:33:43 | AvoturK(20): evet
20:33:43 | BULDOZER(06)(26): hackle beni :d
20:33:44 | Kraply(10): yok avatar koy xd
20:33:46 | Konyali42(33): nasilsin :D
20:33:49 | [CMD] H.R.N.(22) => /goto 13
20:33:49 | AvoturK(20): iyiyim sen nasýlsýn
20:33:49 | huseyin(13): Avo
20:33:53 | sezzer(24): avo
20:33:53 | Muya(0): püüü
20:33:53 | Axefi(12) sezzer(24)'a 1$ para gönderdi
20:33:53 | [CMD] Axefi(12) => /paragonder 24 1
20:33:54 | {FFCC00}Muya(0) {FFFFFF}Pilot olarak spawn oldu.
20:33:56 | [CMD] Axefi(12) => /paragonder 24 1
20:33:56 | [CMD] Muya(0) => /rescue
20:33:57 | BaRan_Reis(6) oyuna girdi [IP: 85.99.20.154]
20:33:58 | {FFCC00}sezzer(24) {FFFFFF}Pilot olarak spawn oldu.
20:33:58 | emirhanertem(23): avva addams gibi oldu qwkdqwkd
20:33:58 | [CMD] Kraply(10) => /tamir
20:34:1 | [CMD] AvoturK(20) => /changenick 26 BULDOZER(06).
20:34:1 | sezzer(24): ooo axefi eyw knk
20:34:3 | xqHost(19): haaððkk puuðð
20:34:3 | [CMD] H.R.N.(22) => /otur
20:34:4 | [CMD] H.R.N.(22) => /otur
20:34:4 | Konyali42(33): avocado yu cok severim ben :D
20:34:6 | Axefi(12): sakýz parasý :D
20:34:7 | [CMD] BULDOZER(06)(20) => /changenick 20 BULDOZER(06)
20:34:7 | [CMD] huseyin(13) => /31
20:34:8 | [CMD] Konyali42(33) => /work
20:34:8 | 
20:34:9 | [CMD] BULDOZER(06)(20) => /atamir
20:34:11 | BULDOZER(06)(20): :)
20:34:12 | [CMD] huseyin(13) => /ise
20:34:12 | [LOCAL]H.R.N.(22): püü
20:34:12 | [CMD] H.R.N.(22) => /l püü
20:34:13 | [CMD] huseyin(13) => /31
20:34:13 | {FFCC00}BaRan_Reis(6) {FFFFFF}Kamyoncu olarak spawn oldu.
20:34:14 | [CMD] BULDOZER(06)(20) => /setlevel 20 7
20:34:15 | BeylerBeyi(25): :D
20:34:16 | BULDOZER(06).(26): anaöö
20:34:17 | xqHost(19): fake
20:34:19 | [LOCAL]H.R.N.(22): aggagaggagahhaahaq
20:34:19 | [CMD] H.R.N.(22) => /l aggagaggagahhaahaq
20:34:19 | BULDOZER(06)(20): hackledim
20:34:23 | xqHost(19): yalancý amdin
20:34:25 | BULDOZER(06).(26): ödüm kotu
20:34:25 | Kraply(10): fake cmd
20:34:26 | [CMD] BULDOZER(06)(20) => /atamir
20:34:30 | [CMD] huseyin(13) => /goto 26 
20:34:32 | H.R.N.(22): duman tüti
20:34:35 | [CMD] huseyin(13) => /goto h.r.n 
20:34:35 | [CMD] sezzer(24) => /araba
20:34:37 | [LOCAL]iYasinBey(7): la evo nerde
20:34:37 | [CMD] iYasinBey(7) => /l la evo nerde
20:34:37 | xqHost(19): amdine idam
20:34:42 | BULDOZER(06).(26): sakin
20:34:43 | [LOCAL]Kraply(10): bas krsm
20:34:43 | [CMD] Kraply(10) => /l bas krsm
20:34:47 | [LOCAL]BULDOZER(06).(26): nereye
20:34:47 | [CMD] BULDOZER(06).(26) => /l nereye
20:34:51 | [LOCAL]iYasinBey(7): he evo bu
20:34:51 | [CMD] iYasinBey(7) => /l he evo bu
20:34:51 | [CMD] Konyali42(33) => /work
20:34:52 | [LOCAL]Kraply(10): farketmez
20:34:52 | [CMD] Kraply(10) => /l farketmez
20:34:54 | [CMD] Kraply(10) => /kemer
20:34:54 | [CMD] huseyin(13) => /sac
20:34:55 | [CMD] sezzer(24) => /araba
20:34:55 | [LOCAL]H.R.N.(22): yaradan sormýcakmý huseyin o level ne
20:34:55 | [CMD] H.R.N.(22) => /l yaradan sormýcakmý huseyin o level ne
20:35:0 | [CMD] Kraply(10) => /fps
20:35:1 | [LOCAL]huseyin(13): .d
20:35:1 | [CMD] huseyin(13) => /l .d
20:35:3 | [eN]Overlord(8): Hüseyin
20:35:4 | [CMD] Kraply(10) => /fps
20:35:7 | huseyin(13): Evet
20:35:10 | [CMD] xqHost(19) => /meslek
20:35:14 | [CMD] Konyali42(33) => /work
20:35:14 | [eN]Overlord(8): duyuru ekranýna yazdýðýn mesaja yanýt vericem ama alýnma
20:35:15 | emirhanertem(23): evo
20:35:15 | Muya(0): huseyin yasýyonmu sen :D
20:35:17 | {FFCC00}xqHost(19) {FFFFFF}Kamyoncu olarak spawn oldu.
20:35:19 | [CMD] xqHost(19) => /rescue
20:35:22 | huseyin(13): mesaj senin için deðil
20:35:25 | huseyin(13): o kiþi kendini biliyor
20:35:28 | [LOCAL]iYasinBey(7): amk mahallede kapýnýn önünde 4  kiþi kavga ediyor utanmasalar tank getircekler
20:35:28 | [CMD] iYasinBey(7) => /l amk mahallede kapýnýn önünde 4  kiþi kavga ediyor utanmasalar tank getircekler
20:35:31 | [eN]Overlord(8): yanýt vermek istedim.
20:35:35 | [LOCAL]Kraply(10): bas 
20:35:35 | [CMD] Kraply(10) => /l bas 
20:35:36 | Axefi(12): þuan istek hakkým var demi dj
20:35:40 | [LOCAL]Kraply(10): bekle
20:35:40 | [CMD] Kraply(10) => /l bekle
20:35:41 | [CMD] xqHost(19) => /bonus
20:35:42 | [LOCAL]Kraply(10): kesemiyom
20:35:42 | [CMD] Kraply(10) => /l kesemiyom
20:35:43 | Konyali42(33): var
20:35:43 | Muya(0): la huseytin
20:35:43 | [CMD] bozkurt331(17) => /komutlar
20:35:44 | [CMD] xqHost(19) => /bonus
20:35:44 | [CMD] emirhanertem(23) => /sorusor giselerde 2 kere para alýyor düzeltin sunu artýk
20:35:44 | [CMD] huseyin(13) => /asay2 avo
20:35:45 | [CMD] Kraply(10) => /kemer
20:35:45 | [LOCAL]BULDOZER(06).(26): ceza kes
20:35:45 | [CMD] BULDOZER(06).(26) => /l ceza kes
20:35:46 | Muya(0): nere kayboldunuz :D
20:35:46 | [CMD] Konyali42(33) => /work
20:35:47 | [CMD] xqHost(19) => /bonus
20:35:47 | [LOCAL]Kraply(10): devam
20:35:47 | [CMD] Kraply(10) => /l devam
20:35:53 | [CMD] huseyin(13) => /asay2 biz geziyoz sen kayboldun
20:35:53 | [CMD] bozkurt331(17) => /komutlar
20:35:53 | BULDOZER(06)(20): .
20:35:54 | [CMD] emirhanertem(23) => /sorusor giselerde 2 kere para alýyor help
20:35:54 | [CMD] [eN]Overlord(8) => /isteksarki 1659
20:35:55 | [LOCAL]iYasinBey(7): burdaki insanlar çok problemli polise adam önünde atar yapýyor
20:35:55 | [CMD] iYasinBey(7) => /l burdaki insanlar çok problemli polise adam önünde atar yapýyor
20:35:58 | [CMD] Konyali42(33) => /asay Istek Sarkiniz Siraya Alinmistir. Iyi Oyunlar Dileriz...    
20:35:59 | [CMD] emirhanertem(23) => /sorusor giselerde 2 kere para alýyor 
20:36:1 | [LOCAL]huseyin(13): yasin
20:36:1 | [CMD] huseyin(13) => /l yasin
20:36:3 | Axefi(12): bitsinde öyle istiyim :D
20:36:4 | [LOCAL]iYasinBey(7): efm
20:36:4 | [CMD] iYasinBey(7) => /l efm
20:36:8 | [LOCAL]huseyin(13): neyse unuttum
20:36:8 | [CMD] huseyin(13) => /l neyse unuttum
20:36:8 | [CMD] [eN]Overlord(8) => /rescue
20:36:8 | [CMD] Konyali42(33) => /work
20:36:11 | [LOCAL]H.R.N.(22): nerelisin yasin
20:36:11 | [CMD] H.R.N.(22) => /l nerelisin yasin
20:36:12 | [LOCAL]iYasinBey(7): :D
20:36:12 | [CMD] iYasinBey(7) => /l :D
20:36:13 | [CMD] AvoturK(20) => /changenick 20 AvoturK
20:36:21 | [LOCAL]iYasinBey(7): bartýn da pendikde oturuyorum
20:36:21 | [CMD] iYasinBey(7) => /l bartýn da pendikde oturuyorum
20:36:23 | [CMD] bozkurt331(17) => /balon
20:36:26 | [CMD] BaRan_Reis(6) => /rescue
20:36:27 | [CMD] AvoturK(20) => /changenicl 26 BULDOZER(06)
20:36:27 | [CMD] huseyin(13) => /aa buradaki insanlar cok problemli diyorda kendisi aþýrý problemli yasin 
20:36:28 | [LOCAL]iYasinBey(7): istanbul
20:36:28 | [CMD] iYasinBey(7) => /l istanbul
20:36:29 | [CMD] bozkurt331(17) => /balon
20:36:30 | Muya(0): evo bna dokunma :D
20:36:31 | Kraply(10): avoturk
20:36:32 | [CMD] BaRan_Reis(6) => /rescue
20:36:33 | STRETLEVEL(11) oyuna girdi [IP: 176.216.200.136]
20:36:33 | [CMD] Konyali42(33) => /d 1714-404-1659
20:36:34 | [CMD] AvoturK(20) => /changenick 26 BULDOZER(06)
20:36:35 | [CMD] AvoturK(20) => /aa asfafa
20:36:37 | [SirketCHT] Creistyle(18): ! bay beyler.
20:36:39 | [CMD] AvoturK(20) => /aa havasýndan suyundan
20:36:40 | Creistyle(18): Bay beyler.
20:36:40 | [CMD] huseyin(13) => /aa 1-2 uyarý atýyor 
20:36:40 | [CMD] BaRan_Reis(6) => /rescue
20:36:41 | Creistyle(18) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:36:42 | Kraply(10): nickini börekli poðaça yap
20:36:42 | 
20:36:43 | BULDOZER(06)(26): abidw
20:36:44 | {FFCC00}STRETLEVEL(11) {FFFFFF}Kamyoncu olarak spawn oldu.
20:36:46 | [CMD] BaRan_Reis(6) => /dll
20:36:46 | [CMD] STRETLEVEL(11) => /sa
20:36:47 | [CMD] huseyin(13) => /aa adam karþý gelince ay kafam karýþtý diyor
20:36:48 | [CMD] testere151(15) => /fuel
20:36:50 | [CMD] Konyali42(33) => /as
20:36:51 | [CMD] BaRan_Reis(6) => /as
20:36:51 | emirhanertem(23): giseler acýlmýyor
20:36:51 | Kraply(10): nickini börekli poðaça yap AvoTurk
20:36:51 | [CMD] iYasinBey(7) => /as
20:36:52 | AvoturK(20): caným sade poðaça çekti
20:36:52 | STRETLEVEL(11):  
20:36:52 | [CMD] swisskobay301(16) => /as
20:36:53 | [CMD] AvoturK(20) => /as
20:36:54 | emirhanertem(23): giseler acýlmýyor
20:36:56 | H.R.N.(22): nickimi karpuzlu karpuz yap
20:36:59 | [CMD] STRETLEVEL(11) => /sac
20:37:0 | [CMD] AvoturK(20) => /aa asfaf
20:37:0 | [CMD] Konyali42(33) => /d sarki bende kapandi bitince acarsin ali
20:37:0 | [CMD] testere151(15) => /aa ayn ya
20:37:1 | [CMD] huseyin(13) => /dtemizle 
20:37:1 | [CMD] huseyin(13) => /asay2 s  
20:37:3 | [CMD] Konyali42(33) => /work
20:37:7 | Muya(0): evo haritada gözükmü :D
20:37:7 | Kraply(10): caným börekli poðaça çekti
20:37:10 | emirhanertem(23): hadi ilgilenin artýk bizle
20:37:10 | [CMD] BeylerBeyi(25) => /d tmm
20:37:11 | Kraply(10): qew
20:37:13 | [CMD] xqHost(19) => /gobus
20:37:14 | [CMD] bozkurt331(17) => /icerigir
20:37:14 | STRETLEVEL(11): ýd 20 benim nicki O1Kral yapar mýsýn ?
20:37:15 | [CMD] AvoturK(20) => /changenick
20:37:17 | [LOCAL]iYasinBey(7): nissan skyline gtr r-34 r-35
20:37:17 | [CMD] iYasinBey(7) => /l nissan skyline gtr r-34 r-35
20:37:20 | [CMD] xqHost(19) => /gobus
20:37:21 | [CMD] SadePogaca(20) => /changenick 20 SadePogaca
20:37:22 | sezzer(24): olm zeytinli poðaça
20:37:22 | [CMD] BaRan_Reis(6) => /araba
20:37:23 | emirhanertem(23): hadi ilgilenin artýk bizle gise acýlmýyor
20:37:25 | [CMD] xqHost(19) => /icerigir
20:37:27 | [CMD] xqHost(19) => /isyerimenu
20:37:27 | [CMD] H.R.N.(22) => /goto 23
20:37:28 | [CMD] SadePogaca(20) => /a id 23 ü parmaklayýn
20:37:29 | [CMD] SadePogaca(20) => /fuel
