0:0:1 | [CMD] Madness(31) => /tamir
23:7:17 | [CMD] huseyin(15) => /l .d
23:7:21 | [CMD] [eN]Overlord(13) => /kemer
23:7:22 | [CMD] huso608(9) => /a ne vereyim
23:7:27 | [CMD] huseyin(15) => /a yk sana demedim .d
23:7:29 | [LOCAL]Strike(TR)(22): afkmý la
23:7:29 | [CMD] Strike(TR)(22) => /L afkmý la
23:7:30 | [CMD] huseyin(15) => /a sancak a dedim 
23:7:31 | [eN]Overlord(13): Bayram 
23:7:33 | [LOCAL]emre_cool(20): sa
23:7:33 | [CMD] emre_cool(20) => /l sa
23:7:33 | [LOCAL]huseyin(15): galiba
23:7:33 | [CMD] huseyin(15) => /l galiba
23:7:34 | cCc.Bayram.cCC(10): he
23:7:35 | H.R.N.(17) oyuna girdi [IP: 46.2.102.60]
23:7:36 | [eN]Overlord(13): gel
23:7:38 | [CMD] huso608(9) => /a bozkurta ne verelim
23:7:38 | [eN]Overlord(13): ls karakol
23:7:39 | cCc.Bayram.cCC(10): nere
23:7:39 | [KAMYONCU] luplup67, Quarry Top'den Avery Construction'e Cimento tasidi. Kazanc: 4991$, 2 Skor ve 5 EXP Sure: 111 Saniye
23:7:42 | cCc.Bayram.cCC(10): neden
23:7:42 | [CMD] BOZKURT545(21) => /pm 20 ben burda bekliyorum gitmiycm biyere
23:7:47 | 
23:7:48 | [LOCAL]Strike(TR)(22): biraz dövüyümde gelir :D
23:7:48 | [CMD] Strike(TR)(22) => /L biraz dövüyümde gelir :D
23:7:48 | [CMD] huseyin(15) => /saril
23:7:50 | [LOCAL]BOZKURT545(21): as
23:7:50 | [CMD] BOZKURT545(21) => /l as
23:7:50 | [CMD] huseyin(15) => /saril
23:7:51 | [eN]Overlord(13): boþver ya da
23:7:51 | [CMD] huso608(9) => /a senin gisede bekliyor cevik
23:7:51 | [CMD] luplup67(7) => /meslek
23:7:52 | H.R.N.(17) Mafya olarak spawn oldu.
23:7:52 | [CMD] emre_cool(20) => /pm 21 neden
23:7:53 | [CMD] huseyin(15) => /animkapat
23:7:55 | [CMD] H.R.N.(17) => /sa
23:7:58 | [CMD] cCc.Bayram.cCC(10) => /as,
23:7:58 | [CMD] [eN]Overlord(13) => /report 10 meslek dýþý araç kullanarak ceza kesme
23:7:59 | [LOCAL]huseyin(15): bana ne vuruyon lo 
23:7:59 | [CMD] huseyin(15) => /l bana ne vuruyon lo 
23:8:0 | [CMD] cCc.Bayram.cCC(10) => /as
23:8:1 | [CMD] emre_cool(20) => /as
23:8:2 | luplup67(7) Gemici olarak spawn oldu.
23:8:4 | [CMD] BOZKURT545(21) => /pm 20 blmm nöbet tutuyom :D
23:8:6 | [CMD] aytunc213122(11) => /flip
23:8:6 | [CMD] huseyin(15) => /saril
23:8:7 | [CMD] huseyin(15) => /saril
23:8:7 | [CMD] huso608(9) => /spec 10
23:8:10 | KeremErdogdu(29) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:8:12 | [CMD] Strike(TR)(22) => /sirket
23:8:12 | huseyin(15): H.R.N. 
23:8:13 | [CMD] cCc.Bayram.cCC(10) => /gobus
23:8:16 | BOZKURT545(21): konvoy yapan varmý longway harbour
23:8:16 | H.R.N.(17):  
23:8:16 | huseyin(15): gördüm ss leri .d forumda 
23:8:17 | [CMD] nik0tin(12) => /fuel 
23:8:18 | [CMD] luplup67(7) => /rescueü
23:8:19 | H.R.N.(17): :D
23:8:20 | [CMD] luplup67(7) => /rescue
23:8:21 | [CMD] cCc.Bayram.cCC(10) => /icerigir
23:8:21 | huseyin(15): :D
23:8:25 | [CMD] cCc.Bayram.cCC(10) => /isyerimenu
23:8:26 | [CMD] huso608(9) => /specoff
23:8:26 | huso608(9) Oduncu olarak spawn oldu.
23:8:30 | [CMD] huso608(9) => /work
23:8:30 | [CMD] cCc.Bayram.cCC(10) => /gobus
23:8:30 | [CMD] emre_cool(20) => /pm 21 ama çevik kuvvet te afk olmak kick sebebiydi galiba
23:8:32 | [CMD] Ernest_Gill(6) => /bilet ls-sf
23:8:33 | [CMD] Frn(24) => /bilet ls-sf
23:8:35 | [CMD] huso608(9) => /pageesize 20
23:8:36 | [CMD] cCc.Bayram.cCC(10) => /icerigir
23:8:39 | BOZKURT545(21): adminler siz bi açýnca bi konvoy yapak ya kaliteli
23:8:41 | luplup67(7): abi beni yaniniza çekin
23:8:41 | [CMD] cCc.Bayram.cCC(10) => /isyerimenu
23:8:47 | luplup67(7): o hizli teknenin oraya
23:8:47 | [CMD] Ernest_Gill(6) => /sit 2
23:8:49 | [CMD] cCc.Bayram.cCC(10) => /isyerimenu
23:8:51 | [LOCAL]huseyin(15): .
23:8:51 | [CMD] huseyin(15) => /l .
23:8:51 | luplup67(7): lütfen
23:8:52 | buyukustadbitti(8): aynn
23:8:53 | [CMD] huseyin(15) => /silahizni 15 
23:8:54 | [CMD] cCc.Bayram.cCC(10) => /rescue
23:8:54 | [CMD] huseyin(15) => /silahizni 15 
23:8:54 | nik0tin(12):  /rescue porto 
23:8:57 | [CMD] H.R.N.(17) => /asay Yardým Ýsteyen? Yolu Bulamayan?
23:8:59 | [CMD] huseyin(15) => /giveweapon 15 dildo 1 
23:9:0 | nik0tin(12): tekneyle git 
23:9:0 | [CMD] Ernest_Gill(6) => /otur 2
23:9:2 | [CMD] luplup67(7) => /rescue
23:9:5 | [eN]Overlord(13): niye hýrgýz yok
23:9:13 | BOZKURT545(21): adminler siz bi açýnca bi konvoy yapak ya kaliteli
23:9:15 | [CMD] nik0tin(12) => /modifiye 
23:9:17 | buyukustadbitti(8): aynnn ya
23:9:21 | [CMD] Ernest_Gill(6) => /animkapat
23:9:23 | emre_cool(20): @13 v6 da yeni mesleklerde gelcek
23:9:26 | [CMD] Ernest_Gill(6) => /animac
23:9:30 | [KAMYONCU] buyukustadbitti, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 534 Saniye
23:9:31 | [CMD] nik0tin(12) => /atamir 
23:9:35 | [eN]Overlord(13): yok suçlu demek istedim
23:9:36 | [LOCAL]huseyin(15): adam cok sýký kilitlemiþ
23:9:36 | [CMD] huseyin(15) => /l adam cok sýký kilitlemiþ
23:9:37 | [CMD] huso608(9) => /skapat
23:9:38 | [LOCAL]huseyin(15): bin miyor bile
23:9:38 | [CMD] huseyin(15) => /l bin miyor bile
23:9:40 | emre_cool(20): tmm
23:9:43 | emre_cool(20): :D
23:9:43 | [CMD] nik0tin(12) => /caroption 
23:9:44 | [eN]Overlord(13): v6 da zezevenk gelcekmiþ dorumu
23:9:46 | [CMD] luplup67(7) => /wrok
23:9:47 | [LOCAL]nik0tin(12): açtým 
23:9:47 | [CMD] nik0tin(12) => /l açtým 
23:9:48 | [CMD] luplup67(7) => /work
23:9:49 | [LOCAL]huseyin(15): .d 
23:9:49 | [CMD] huseyin(15) => /l .d 
23:9:50 | [LOCAL]huseyin(15): :D
23:9:50 | [CMD] huseyin(15) => /l :D
23:9:51 | [LOCAL]Strike(TR)(22): dayýýýý
23:9:51 | [CMD] Strike(TR)(22) => /L dayýýýý
23:9:52 | [CMD] luplup67(7) => /goreviptal
23:9:53 | emre_cool(20): o ne la
23:9:53 | [LOCAL]huseyin(15): kapat
23:9:53 | [CMD] huseyin(15) => /l kapat
23:9:53 | [CMD] luplup67(7) => /work
23:9:58 | [CMD] nik0tin(12) => /caroption 
23:10:0 | BOZKURT545(21): bu gece serverýn tadý tuzu yok 
23:10:3 | [CMD] MuratsMurat(14) => /flip
23:10:4 | aytunc213122(11): ,/flip
23:10:8 | [CMD] cCc.Bayram.cCC(10) => /galeRi
23:10:9 | emre_cool(20): aynen :D sohbet yok ya
23:10:9 | H.R.N.(17):  /cevir
23:10:12 | [CMD] BOZKURT545(21) => /flip
23:10:13 | [CMD] nik0tin(12) => /atamir 
23:10:14 | [CMD] huso608(9) => /spec 11
23:10:17 | [CMD] huseyin(15) => /31
23:10:18 | [CMD] huso608(9) => /cc
23:10:21 | [eN]Overlord(13): bu hayatýn heyecaný meyecaný yok .d
23:10:23 | [CMD] ahmet55(18) => /pcc
23:10:23 | emre_cool(20): beyler bir konu açýnda sohbet edek
23:10:26 | [CMD] huso608(9) => /specoff
23:10:26 | huso608(9) Oduncu olarak spawn oldu.
23:10:29 | [CMD] huseyin(15) => /hfyerlestir
23:10:29 | [CMD] huseyin(15) => /hfyerlestir
23:10:29 | [CMD] huseyin(15) => /hfyerlestir
23:10:32 | [CMD] ahmet55(18) => /pcc
23:10:33 | [CMD] huseyin(15) => /hfbaslat
23:10:33 | BOZKURT545(21): severa cami geliyor :D
23:10:34 | [CMD] H.R.N.(17) => /araba
23:10:37 | [CMD] MuratsMurat(14) => /tamir
23:10:37 | {FFCC00}Sancak(16) {FFFFFF}Kamyoncu olarak spawn oldu.
23:10:40 | [LOCAL]Strike(TR)(22): alcakkk :D
23:10:40 | [CMD] Strike(TR)(22) => /L alcakkk :D
23:10:41 | [eN]Overlord(13): zezevenklik de gelcek v6da
23:10:46 | [LOCAL]huseyin(15): öldü .d
23:10:46 | [CMD] huseyin(15) => /l öldü .d
23:10:46 | [CMD] huso608(9) => /odunsat
23:10:48 | [CMD] Strike(TR)(22) => /hfyerlestir
23:10:48 | emre_cool(20): gerçektenmi 
23:10:49 | [LOCAL]Sancak(16): ne diyon gavat
23:10:49 | [CMD] Sancak(16) => /l ne diyon gavat
23:10:49 | [LOCAL]huseyin(15): hg
23:10:49 | [CMD] huseyin(15) => /l hg
23:10:52 | buyukustadbitti(8): tomito yakusa ah ah
23:10:55 | Ernest_Gill(6): abdestsiz girmeyin puþtlar
23:10:55 | [CMD] Sancak(16) => /admins
23:10:58 | luplup67(7): :DASDA
23:10:58 | [eN]Overlord(13): öyle deniyore
23:11:0 | BOZKURT545(21): grafikerler ve matite söyledi
23:11:0 | luplup67(7): capss
23:11:2 | [CMD] Sancak(16) => /setlevel 22 1t
23:11:3 | [CMD] aytunc213122(11) => /motor
23:11:3 | [CMD] huso608(9) => /uyar 6 uslup
23:11:4 | luplup67(7): be
23:11:4 | [CMD] Sancak(16) => /setlevel 22 1
23:11:6 | [CMD] Sancak(16) => /setlevel 22 2
23:11:7 | [CMD] Sancak(16) => /setlevel 22 3
23:11:8 | [CMD] Sancak(16) => /setlevel 22 4
23:11:9 | [LOCAL]Strike(TR)(22): yaw huse patlattý seni bana gavat diyon puu
23:11:9 | [CMD] Strike(TR)(22) => /L yaw huse patlattý seni bana gavat diyon puu
23:11:9 | [LOCAL]nik0tin(12): kurtarýn 
23:11:9 | [CMD] nik0tin(12) => /l kurtarýn 
23:11:10 | [CMD] aytunc213122(11) => /motor
23:11:11 | huseyin(15): hýzlý rank 
23:11:13 | huseyin(15): level up 
23:11:14 | [eN]Overlord(13): Triple Kill
23:11:15 | [CMD] huso608(9) => /work
23:11:17 | [CMD] luplup67(7) => /vipol
23:11:18 | emre_cool(20): aynen :D
23:11:18 | [CMD] aytunc213122(11) => /tamir
23:11:20 | [CMD] Strike(TR)(22) => /admins
23:11:21 | [CMD] [eN]Overlord(13) => /vipol
23:11:27 | H.R.N.(17): ho
23:11:28 | [eN]Overlord(13):  /vipol beyler
23:11:28 | [CMD] nik0tin(12) => /caroption 
23:11:29 | huso608(9): @7 výp satýslarýmýz mevcut
23:11:30 | BOZKURT545(21): grafiker sancakla birlikte yapýyoruz dedi camiyi
23:11:30 | Strike(TR)(22): .
23:11:30 | [CMD] Sancak(16) => /asilah
23:11:32 | [CMD] luplup67(7) => /vipolw
23:11:33 | [CMD] emre_cool(20) => /vibol
23:11:35 | [CMD] buyukustadbitti(8) => /vipol
23:11:35 | [CMD] nik0tin(12) => /atamir 
23:11:35 | [CMD] emre_cool(20) => /vib ol
23:11:36 | [eN]Overlord(13): Sancak
23:11:38 | [CMD] ahmet55(18) => /vipol
23:11:38 | [eN]Overlord(13): çok ayýb
23:11:41 | [CMD] emre_cool(20) => /Vibol
23:11:42 | huso608(9): www.trucksamp.com
23:11:48 | [CMD] buyukustadbitti(8) => /vipol
23:11:49 | [eN]Overlord(13): hiç sivile vurulurmu çok ayýb sancak
23:11:50 | [CMD] Strike(TR)(22) => /a dayýý silah izin ver su huseyine ahýr yapam :D
23:11:51 | [CMD] huseyin(15) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
23:11:52 | [CMD] huseyin(15) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
23:11:52 | emre_cool(20): ne komutu vib istemenin ?
23:11:52 | BOZKURT545(21): bi vip daðýtýnda azcýk viplik neymþ öðrenek
23:11:52 | [CMD] luplup67(7) => /vipol
23:11:52 | [CMD] nik0tin(12) => /atamir 
23:11:53 | [CMD] Strike(TR)(22) => /god
23:11:54 | emre_cool(20): ne komutu vib istemenin ?
23:11:55 | [CMD] cCc.Bayram.cCC(10) => /ev
23:11:59 | luplup67(7): hediye 10 skor atýn abi 
23:12:1 | H.R.N.(17):  /vipol
23:12:3 | [CMD] Strike(TR)(22) => /admins
23:12:5 | [CMD] Sancak(16) => /vuroni 15
23:12:6 | [CMD] emre_cool(20) => /vibol
23:12:6 | huseyin(15): :d
23:12:8 | [CMD] cCc.Bayram.cCC(10) => /ev
23:12:8 | [CMD] Sancak(16) => /god
23:12:8 | huseyin(15) Itfaiyeci olarak spawn oldu.
23:12:9 | [eN]Overlord(13): adam þirketinde
23:12:10 | [CMD] huseyin(15) => /slap strike 
23:12:11 | [CMD] BOZKURT545(21) => /vipol
23:12:12 | [CMD] emre_cool(20) => /vipol
23:12:12 | [CMD] huseyin(15) => /goto sancak 
23:12:13 | [CMD] ahmet55(18) => /vipol
23:12:15 | [CMD] luplup67(7) => /vipol
23:12:16 | [CMD] huseyin(15) => /myskin 304
23:12:18 | buyukustadbitti(8): adminden skor istemek yasak
23:12:20 | [CMD] nik0tin(12) => /atamir 
23:12:20 | [CMD] Strike(TR)(22) => /A huse silah izin verr
23:12:21 | [CMD] aytunc213122(11) => /flip
23:12:21 | [CMD] huseyin(15) => /giveweapon 15 flamet 5000 
23:12:22 | [CMD] cCc.Bayram.cCC(10) => /ev
23:12:23 | luplup67(7): dewðilw
23:12:24 | buyukustadbitti(8): adminden skor istemek yasak
23:12:25 | [CMD] MuratsMurat(14) => /flip
23:12:29 | [CMD] aytunc213122(11) => /motor
23:12:31 | [CMD] [eN]Overlord(13) => /rescue
23:12:34 | [CMD] MuratsMurat(14) => /Tamir
23:12:36 | [CMD] nik0tin(12) => /atamir 
23:12:38 | [CMD] luplup67(7) => /vipol
23:12:39 | [CMD] huseyin(15) => /giveweapon 15 rocket 5000 
23:12:41 | buyukustadbitti(8): admin uyarý
23:12:45 | luplup67(7): at 
23:12:46 | [CMD] Strike(TR)(22) => /A sancakk silah izin versene huseye saldýrak
23:12:47 | [eN]Overlord(13): Hüseyinin sivil þeyisi bitti Sancaðýn baþladý .d
23:12:48 | [eN]Overlord(13) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:12:49 | luplup67(7): ;)
23:12:52 | [CMD] huso608(9) => /work
23:12:54 | [CMD] cCc.Bayram.cCC(10) => /arananlar
23:12:55 | huseyin(15): :D
23:12:58 | aytunc213122(11): admin canlarý yenilermisin
23:13:0 | [CMD] huseyin(15) => /cantazele
23:13:2 | MuratsMurat(14): adminn bana can verebilirmisin ?
23:13:3 | [CMD] huseyin(15) => /goto sancak 
23:13:5 | [CMD] huso608(9) => /cantazele
23:13:5 | luplup67(7): abi skor atýn da polis olucamüwa
23:13:8 | Sancak(16): söyle caným
23:13:9 | [CMD] emre_cool(20) => /tamir
23:13:10 | [CMD] aytunc213122(11) => /tamir
23:13:11 | cCc.Bayram.cCC(10): Ben görevimi yaptým. Ben gidiyorum
23:13:12 | cCc.Bayram.cCC(10): Ben görevimi yaptým. Ben gidiyorum
23:13:14 | BOZKURT545(21): bize viplik ateþleyin reisler
23:13:16 | nik0tin(12) Itfaiyeci olarak spawn oldu.
23:13:17 | emre_cool(20): by
23:13:17 | [CMD] nik0tin(12) => /myskin 124 
23:13:19 | luplup67(7): sancak abi skor atýn polis olucam
23:13:19 | [CMD] buyukustadbitti(8) => /work
23:13:22 | [CMD] nik0tin(12) => /goto 15 
23:13:23 | Sancak(16): sana burdan bi ateþlerim
23:13:23 | [CMD] huso608(9) => /uyar 7 adminlerden skor para istemek yasak
23:13:27 | [eN]Overlord(13) oyuna girdi [IP: 78.180.153.68]
23:13:31 | luplup67(7): tamtam aga ya 
23:13:37 | [CMD] Strike(TR)(22) => /A sancakk silah izin verirmisinn
23:13:37 | 
23:13:37 | luplup67(7): hemen uyar
23:13:39 | cCc.Bayram.cCC(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:13:40 | luplup67(7): :/
23:13:40 | {FFCC00}[eN]Overlord(13) {FFFFFF}Polis olarak spawn oldu.
23:13:40 | [CMD] buyukustadbitti(8) => /asiriyuk
23:13:41 | [CMD] huseyin(15) => /setskin 22 140 
23:13:45 | [CMD] Sancak(16) => /a sg
23:13:50 | [CMD] H.R.N.(17) => /asay Yardým Ýsteyen? Yolu Bulamayan?
23:13:51 | [CMD] huso608(9) => /a tmm
23:13:55 | [CMD] Strike(TR)(22) => /a yaw cevik olurum bende amýnium :D
23:14:1 | luplup67(7): aþkýmýn yolunu bulamadým
23:14:2 | [CMD] Strike(TR)(22) => /meslek
23:14:6 | {FFCC00}Strike(TR)(22) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
23:14:10 | [CMD] emre_cool(20) => /cevir
23:14:11 | [CMD] emre_cool(20) => /tamir
23:14:13 | [CMD] Strike(TR)(22) => /goto sancak
23:14:18 | [CMD] aytunc213122(11) => /work
23:14:20 | BOZKURT545(21): geçen cumartesiki gibi viplik daðýtýmý olurmu bidaha
23:14:21 | [CMD] Strike(TR)(22) => /A sancak naberrr :D
23:14:24 | [eN]Overlord(13): onun kalbine hangi yoldan gidicez
23:14:25 | [CMD] [eN]Overlord(13) => /kemer
23:14:29 | [CMD] huso608(9) => /work
23:14:31 | H.R.N.(17): parra
23:14:37 | [LOCAL]Strike(TR)(22): alcak cevik :D
23:14:37 | [CMD] Strike(TR)(22) => /L alcak cevik :D
23:14:38 | [CMD] huseyin(15) => /saril
23:14:40 | buyukustadbitti(8): oyunun yarýsý polis
23:14:44 | luplup67(7): parra
23:14:46 | [CMD] huseyin(15) => /animkapat
23:14:46 | [eN]Overlord(13): çokzel
23:14:46 | [CMD] aytunc213122(11) => /flip
23:14:49 | [CMD] aytunc213122(11) => /tamir
23:14:51 | [CMD] MuratsMurat(14) => /Tamir
23:14:54 | [CMD] aytunc213122(11) => /motor
23:14:57 | [CMD] buyukustadbitti(8) => /tamir
23:14:58 | BOZKURT545(21): geçen cumartesiki gibi viplik daðýtýmý olurmu bidaha
23:15:1 | [CMD] Ernest_Gill(6) => /DANCE 6
23:15:1 | [CMD] emre_cool(20) => /kemer
23:15:3 | [CMD] luplup67(7) => /stats
23:15:3 | [CMD] Strike(TR)(22) => /giveweapon 22 rocket 9999
23:15:5 | [CMD] huseyin(15) => /duskalk
23:15:8 | [CMD] huseyin(15) => /vipgor 15 
23:15:13 | [CMD] huseyin(15) => /animkapat
23:15:16 | huso608(9): @21 výp isi belli olmaz
23:15:23 | [CMD] buyukustadbitti(8) => /bilgilerim
23:15:24 | huso608(9): satýslarýmýz mevcut
23:15:26 | Strike(TR) huseyin'i öldürdü. Oldurme Sekli: 51
23:15:27 | [KAMYONCU] nefariouss, Longway Warehouse'den Harbour Island Warehouse'e Elektronik Esyalar tasidi. Kazanc: 169754$, 1 Skor ve 5 EXP Sure: 548 Saniye
23:15:29 | [CMD] Strike(TR)(22) => /a klasda
23:15:30 | huseyin(15) Itfaiyeci olarak spawn oldu.
23:15:31 | huso608(9): www.trucksamp.com
23:15:34 | [CMD] huseyin(15) => /goto sancak 
23:15:36 | [CMD] nefariouss(19) => /rescue
23:15:44 | BOZKURT545(21): ramazanda alcam evdeyim full 
23:15:50 | [CMD] huseyin(15) => /giveweapon 15 vib 1 
23:15:53 | BOZKURT545(21): fiyalar deðiþti diyolar doðrumu
23:15:53 | Sancak(16): kardeþim
23:15:57 | Sancak(16): hep biz mi dagýtýcaz
23:15:58 | [CMD] H.R.N.(17) => /asay Merak ettikleriniz /sorusor komutu ile bildirebilirsiniz
23:16:1 | [CMD] aytunc213122(11) => /flip
23:16:1 | [CMD] huseyin(15) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
23:16:2 | [CMD] nik0tin(12) => /skapat 
23:16:2 | Sancak(16): birazda fýrsatcýlýk
23:16:2 | [CMD] huseyin(15) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
23:16:3 | [CMD] MuratsMurat(14) => /Flip
23:16:4 | Sancak(16): yapmayýp
23:16:5 | Sancak(16): satýn alsanýz
23:16:8 | [eN]Overlord(13) oyundan cIktI (Hata/Crash) (IP: 78.180.153.68)
23:16:11 | [CMD] luplup67(7) => /araba
23:16:12 | huso608(9): sw ye hayrýnýz gecer
23:16:15 | [CMD] Strike(TR)(22) => /A ben duyuru yapam biraz afk 
23:16:15 | [CMD] nefariouss(19) => /work
23:16:16 | [CMD] huso608(9) => /work
23:16:16 | [CMD] emre_cool(20) => /tam,r
23:16:19 | [CMD] emre_cool(20) => /tamir
23:16:22 | H.R.N.(17): adamlar daþmý yicek :D
23:16:33 | Sancak(16): bu sunucu nasýl ayakta duruyor bilmezsiniz :D
23:16:39 | emre_cool(20): nasýl ?
23:16:39 | [eN]Overlord(10) oyuna girdi [IP: 78.180.153.68]
23:16:41 | BOZKURT545(21):  alcm ramazanda oyuna 1saat giriyom bi iþme yaramaz þuan
23:16:44 | Sancak(16): al iþte
23:16:46 | Sancak(16): nasýl diyor
23:16:49 | BOZKURT545(21): fiyatlar deðiþtimi
23:16:51 | 
23:16:56 | [CMD] BOZKURT545(21) => /sac
23:16:58 | {FFCC00}[eN]Overlord(10) {FFFFFF}Polis olarak spawn oldu.
23:17:2 | Strike(TR) huseyin'i öldürdü. Oldurme Sekli: 51
23:17:6 | huso608(9): www.trucksamp.com a gir fiyatlar guncel
23:17:6 | huseyin(15) Itfaiyeci olarak spawn oldu.
23:17:7 | [CMD] huseyin(15) => /a ula o roket
23:17:11 | [CMD] aytunc213122(11) => /flip
23:17:14 | [CMD] huseyin(15) => /goto sancak 
23:17:21 | BOZKURT545(21): eyvallah
23:17:22 | [CMD] Strike(TR)(22) => /A ben adamý 10km uzaktan bile vururum :D
23:17:23 | [CMD] huseyin(15) => /silahizni 15 
23:17:25 | [CMD] H.R.N.(17) => /asay Merak ettiklerinizi /sorusor komutu ile bildirebilirsiniz
23:17:27 | [CMD] huseyin(15) => /giveweapon 15 gr 5000 
23:17:29 | [CMD] huseyin(15) => /god
23:17:30 | [CMD] H.R.N.(17) => /tamir
23:17:30 | emre_cool(20): hrn dur
23:17:30 | [CMD] huso608(9) => /spec 11
23:17:34 | [eN]Overlord(10): Sancakm
23:17:37 | [eN]Overlord(10): Sancamk
23:17:39 | [eN]Overlord(10): Lagg
23:17:39 | [CMD] huso608(9) => /specoff
23:17:39 | huso608(9) Oduncu olarak spawn oldu.
23:17:40 | [eN]Overlord(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:17:42 | [CMD] huseyin(15) => /etk zirh 0 
23:17:42 | Strike(TR)(22): Sancak*
23:17:46 | BOZKURT545(21): adminler konvoy açýnda kaliteli bi konvoy yapak hepberaber
23:17:49 | [CMD] Strike(TR)(22) => /god
23:17:49 | huso608(9): @10 problem nedir
23:17:50 | [CMD] aytunc213122(11) => /motor
23:17:51 | [CMD] Strike(TR)(22) => /god
23:17:51 | [CMD] huso608(9) => /work
23:17:56 | [CMD] aytunc213122(11) => /tamir
23:17:58 | [CMD] nik0tin(12) => /adminol 
23:17:59 | buyukustadbitti(8): bilerek radara yakalanýp arkadaþa skor kasmak yasak deðilmi
23:18:0 | emre_cool(20): by
23:18:1 | [CMD] nefariouss(19) => /asiriyuk
23:18:2 | H.R.N.(17): bb
23:18:6 | [CMD] Strike(TR)(22) => /a asdaþldas
23:18:8 | emre_cool(20): yasak
23:18:9 | nik0tin(12): by
23:18:12 | nik0tin(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:18:13 | emre_cool(20): by
23:18:13 | huso608(9): @8 sikayet olursa ilgileniriz
23:18:15 | [CMD] H.R.N.(17) => /cevir
23:18:18 | huso608(9): ßß
23:18:18 | [eN]Overlord(10) oyuna girdi [IP: 78.180.153.68]
23:18:20 | [CMD] MuratsMurat(14) => /flip
23:18:24 | Ernest_Gill(6): ehliyet nereden aliniyor
23:18:24 | [CMD] huseyin(15) => /aa kaçtým bn iyi geceler sana 
23:18:29 | BOZKURT545(21): sfden
23:18:29 | H.R.N.(17): sf
23:18:30 | huso608(9):   /ehliyetyeri
23:18:33 | [CMD] emre_cool(20) => /tamir
23:18:33 | 
23:18:37 | [CMD] Sancak(16) => /aa görüþürüz
23:18:37 | {FFCC00}[eN]Overlord(10) {FFFFFF}Polis olarak spawn oldu.
23:18:42 | [CMD] huseyin(15) => /a iyi geceler beyler
23:18:43 | [CMD] huseyin(15) => /adminol
23:18:43 | [CMD] MuratsMurat(14) => /tamir
23:18:44 | huseyin(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:18:46 | [CMD] Strike(TR)(22) => /A sanada
23:18:46 | [CMD] huso608(9) => /a sanada
23:18:47 | [CMD] Ernest_Gill(6) => /ehliyetyeri
23:18:51 | emre_cool(20): by
23:18:51 | H.R.N.(17):  @6 lv ýþýnlan /rescueden götürem
23:18:56 | [CMD] BOZKURT545(21) => /cevir
23:19:0 | [CMD] huso608(9) => /r rehber
23:19:2 | [CMD] Ernest_Gill(6) => /ehliyetyeri
23:19:7 | [CMD] huso608(9) => /r ehliyetyeri komutu var
23:19:8 | [CMD] MuratsMurat(14) => /flipi
23:19:9 | [CMD] H.R.N.(17) => /r ?
23:19:11 | emre_cool(20): hrn sen ona ýþýnlansana
23:19:12 | [eN]Overlord(10): Sancamk
23:19:14 | [CMD] huso608(9) => /r /ehliyetyeri komutu var
23:19:14 | [CMD] aytunc213122(11) => /tp
23:19:15 | [eN]Overlord(10): Sancak*
23:19:17 | [CMD] Ernest_Gill(6) => /ehliyetyeri
23:19:18 | huso608(9): @10 eve
23:19:18 | aytunc213122(11): admin
23:19:21 | [CMD] MuratsMurat(14) => /flp
23:19:23 | huso608(9): nuyrun
23:19:25 | Sancak(16): evet
23:19:26 | [CMD] MuratsMurat(14) => /Flip
23:19:27 | [CMD] H.R.N.(17) => /r içimden geldi götürmek
23:19:30 | huso608(9): buyrun
23:19:30 | luplup67(7): araç res
23:19:32 | aytunc213122(11): muratý benim yanýma teleport edermisin
23:19:32 | [CMD] H.R.N.(17) => /tamir
23:19:32 | luplup67(7): araç res
23:19:33 | [CMD] huso608(9) => /asay Arac Res Geliyor!!! 
23:19:36 | [CMD] huso608(9) => /asay Arac Res Geliyor!!! 
23:19:36 | [eN]Overlord(10): konvoy yapacanmý
23:19:38 | [CMD] huso608(9) => /asay Arac Res Geliyor!!! 
23:19:38 | [CMD] huso608(9) => /asay Arac Res Geliyor!!! 
23:19:40 | [CMD] huso608(9) => /respawncars
